job_id,job_id_platform,role,company,location,posted_time,url,job_desc,salary,work_type,country,salary_min_cleaned,salary_max_cleaned
22,85768605,Data Warehouse and Power BI Specialist,PT Bina Karya Prima,North Jakarta,2025-07-15 16:17:33.000000 UTC,https://id.jobstreet.com/id/job/85768605,"Jobdesc:; Memastikan efektivitas, integritas, dan ketersediaan data yang digunakan untuk analisis dan pelaporan.; Merancang dan mengembangkan skema data warehouse untuk mendukung kebutuhan bisnis dengan memanfaatkan teknologi baru maupun yang sudah ada.; Menangani proses ekstraksi, transformasi, dan pemuatan data (ETL) ke dalam data warehouse dari berbagai sumber data secara efisien.; Menjaga integritas dan kualitas data yang terjadi di dalam proses ETL.; Membuat dan memelihara metadata untuk memudahkan pemahaman dan penggunaan data, dokumentasi dan pelacakan perubahan.; Memantau dan mengoptimalkan kinerja data warehouse dengan indeks, partisi, dan struktur data lainnya untuk meningkatkan performa. (seperti indexing, partitioning dan lain-lain); Menjaga keamanan data dan memberlakukan kebijakan akses yang tepat dan melakukan audit secara berkala untuk memastikan kepatuhan.; Berkomunikasi secara efektif dengan tim bisnis untuk memahami kebutuhan dan memastikan solusi yang relevan.;  Requirements:; Gelar sarjana atau lebih tinggi dalam bidang terkait seperti Ilmu Komputer, Teknologi Informasi, atau bidang terkait.; Pengalaman kerja minimal 3 tahun dalam pengelolaan data warehouse, ETL, dan pelaporan.; Pengetahuan mendalam tentang desain dan pengembangan skema data warehouse.; Keahlian dalam teknologi data warehouse seperti SQL Server, dan Power BI.; Kemampuan memahami dan mengimplementasikan proses ETL untuk mentransformasi data dari berbagai sumber.; Penguasaan teknik pemeliharaan metadata dan dokumentasi data.; Pengalaman dalam memantau dan mengoptimalkan kinerja data warehouse dengan menggunakan indeks, partisi, dan struktur data lainnya.",,Full time,indonesia,,
111,84612005,Data Engineer,Integrity,Jakarta,2025-06-17 16:17:28.000000 UTC,https://id.jobstreet.com/id/job/84612005,"Are you a passionate data engineer ready to build the infrastructure that powers our insights and decisions? As a Data Engineer, you’ll transform messy, unstructured data into clean, structured datasets, craft pipelines that scale, and support cutting-edge AI and analytics. We’re looking for a dynamic team player to join us in turning data into actionable intelligence! ; 🔍 What You’ll Do:; Design, build, and maintain robust data pipelines across a range of internal systems and products.; Ingest, normalize, and structure large-scale data — from text and PDFs to audio, video, and web-scraped content.; Build scalable data infrastructure for AI model training, chatbot pipelines, and real-time monitoring.; Develop ETL/ELT frameworks supporting real-time dashboards, background tasks, and scheduled analytics.; Ensure data validation, logging, audit trails, and error reporting for QA & Compliance.; 💡 Who We Need:; Bachelor’s degree in a relevant field.; Minimum of 2 years in a similar role.; Experienced in E2E ETL processes for structured & unstructured data.; Experienced in building pipelines with Apache Airflow, Kafka, Spark, or similar.; Experienced in Web scraping with Selenium & proxies.; A self-driven, team player who thrives in a dynamic environment.; Excellent communication skills and a passion for solving problems.; Adaptive, proactive, and ready to take initiative.; 💻 Technical Skills Needed:; Programming: Python, Golang, Java; Databases: MongoDB, PostgreSQL, Elasticsearch for data warehousing and indexing; Strong understanding in REST APIs, web scraping, and asynchronous job queues (Celery, etc.).; Familiarity with cloud storage (GCP, AWS, Azure) and CI/CD pipelines (GitLab CI, BigQuery, S3/Glue, Azure Data Factory).; Tools: ELK, Grafana, MongoDB.; If you meet these requirements and you are looking for a new, exciting opportunity within a successful, growing company, then this role is for you!; Integrity Indonesia is an equal opportunity employer.; * * *; Integrity Indonesia is a foreign investment company that has operated since 2001 in Indonesia, and with established affiliates in Malaysia and Thailand. Our business is to provide services related to the Prevention, Detection, and Investigation of risk.; As a rapidly expanding company with a robust business plan, Integrity Indonesia is looking for self-motivated and results-oriented individuals with solid qualifications who enjoy the challenge to grow and succeed.",,Full time,indonesia,,
117,83584141,Data Engineer,"PT. BFI FINANCE INDONESIA, Tbk",Tangerang District,2025-06-17 16:17:28.000000 UTC,https://id.jobstreet.com/id/job/83584141,"Job Description; Design and implement scalable data pipeline using modern data platform (Spark, Flink, Kafka, Airflow); Build and manage ETL/ELT processes to ingest data from various sources (databases, APIs, files, message queues); Develop and maintain data models and data warehouse / datalake architectures; Ensure high data quslity and implement data validation, observability and monitoring frameworks; Collaborate with other team such as data analyst, data scientist and business stakeholders to understand data requirements and deliver data solutions; Optimize performance of big data processing jobs and ensure cost efficiencient data infrastructure; Advocate for best practices in data engineering, including documentation, testing, version control and other with team; Minimum Qualifications; Bachelor degree from Computer Science or Informatic Engineering; Min. 3 years experience as Data Engineer or similar role; Strong proficiency in SQL and programming language (Python, Java or Scala); Hands on with distributed data processing framework (Apache Spark, Kafka, Flink); Solid understanding of data modelling, data warehouse and query performance optimization; Experience with cloud platform such as Alibaba Cloud, AWS, GCP or Azure; Familiarity with modern orchestration tools like Apache AirFlow or other; Experience with CI/CD and DevOps practices in data engineering",,Full time,indonesia,,
47,85376004,Expression of Interest - Sr. Pipeline Engineer (Contract Based),PT Worley Sea Indonesia,South Jakarta,2025-07-02 16:17:33.000000 UTC,https://id.jobstreet.com/id/job/85376004,"About the job; We’re looking for a Senior Pipeline Engineer (Contract Based) to join our Indonesia team.; When you work for us, you get the chance to join nearly 50,000 people all driven by a common purpose of delivering a more sustainable world. We’re excited about the challenges ahead. We believe there’s never been a more rewarding time to work in the energy, chemical and resources sectors.; As Senior Pipeline Engineer, you will be responsible for the pipeline system facilities.; To succeed in this role, you should have minimum ten (10) years’ experience in Oil & Gas industry and minimum seven (7) years’ experience in engineering design of Pipeline systems including mechanical design, PLETS, installation, and pre-commissioning.; Who we are; Worley is a global professional services company of energy, chemicals and resources experts headquartered in Australia.; Right now, we’re bridging two worlds as we accelerate to more sustainable energy sources, while helping our customers provide the energy, chemicals and resources that society needs now.; We partner with our customers to deliver projects and create value over the life of their portfolio of assets. We solve complex problems by finding integrated data-centric solutions from the first stages of consulting and engineering to installation and commissioning, to the last stages of decommissioning and remediation. Join us and help drive innovation and sustainability in our projects.; What you’ll do; We are looking for Senior Pipeline Engineer to join our team in Jakarta, Indonesia.; The role responsibilities include:; Responsible for the pipeline system facilities, by developing the design concepts, design criteria and specifications, performing analysis, calculations and reviewing and implementing government regulations as well as industrial codes and practices in order to satisfy COMPANY requirements.; What you’ll have; Bachelor of Science Degree in Engineering related field, and ideally be professionally registered or chartered as an engineer with a recognized engineering body.; Minimum ten (10) years’ experience in Oil & Gas industry.; Minimum seven (7) years’ experience in engineering design of Pipeline systems including mechanical design, PLETS, installation, and pre-commissioning.; Experience relating to coordination of offshore installation activities in deepwater and shallow water inclusive of shore pull-in and commissioning activities.; A thorough knowledge of the relevant Industry codes and standards is required.; Demonstrate capability in Pre-FEED, FEED and/or EPCI by listing up the experienced project names and Project Phases of Pre-FEED, FEED and EPCI.; Moving forward together; We want our people to be energized and empowered to drive sustainable impact. So, our focus is on a values-inspired culture that unlocks brilliance through belonging, connection and innovation.; We’re building a diverse, inclusive and respectful workplace. Creating a space where everyone feels they belong, can be themselves, and are heard.; And we're not just talking about it; we're doing it. We're reskilling our people, leveraging transferable skills, and supporting the transition of our workforce to become experts in today's low carbon energy infrastructure and technology.; Whatever your ambition, there’s a path for you here. And there’s no barrier to your potential career success. Join us to broaden your horizons, explore diverse opportunities, and be part of delivering sustainable change.; Ready to join us? Apply now to submit your CV",,Full time,indonesia,,
58,85299556,"Senior Data Scientist (Analytics), Business Platform",Data Analytics,Jakarta,2025-07-01 16:17:33.000000 UTC,https://id.jobstreet.com/id/job/85299556,"Get to Know the Team; We drive innovation and operational excellence by turning data into actionable strategies that elevate the end-to-end experience for consumers, driver-partners, and merchant-partners. From optimizing transaction flows and platform efficiency to enhancing reliability, we strive to make Grab the first choice, every time.; Get to Know the Role; You will report to the Product Analytics Manager, Business Platform and you'll have the unique opportunity to collaborate across disciplines (Product, Business, Engineering, Design, Data Science) to transform data into dynamic solutions. Your insights will directly contribute to developing groundbreaking products and initiatives, setting new benchmarks for excellence. This isn't just any role; it's a chance to make a tangible impact on millions of lives every day.; The Critical Tasks You Will Perform; You will understand our requirements and outcomes to ensure data-driven decision-making.; You will conduct tailored analyses for specific products and operations, define critical business metrics, track them rigorously, and recommend continuous improvements.; You will frame business scenarios and propose features that impact critical business processes and decisions.; You will transform requirements into concise insights through reports, presentations, and dashboards, and consolidate data from multiple sources to create comprehensive views for decision-making.; You will develop data pipelines and custom data science models to solve identified problems.; You will launch A/B tests, analyze the results, and provide recommendations based on your findings.",,Full time,indonesia,,
68,85235360,Data Solution & Technology Architect,PT Cybertrend Intrabuana,Pasar Minggu,2025-06-28 13:16:45.000000 UTC,https://id.jobstreet.com/id/job/85235360,"About the Role; We are SmartCyber, member of Cybertrend, one of the leader data science consultants in Indonesia.; At CYBERTREND, Delivery Department is one of our core capabilities in our product innovation and solution to the market. As DATA SOLUTION & TECHNOLOGY ARCHITECT, you will be part of the core team,  in ensuring that  our product and solution delivered to customers are designed and developed with highly scalable, reliable and maintainable system.  Along with owning the entire life cycle of all CYBERTREND’s projects, you will establish and evangelize the best data architect solution practices to be referenced and follow.; We are looking someone with:; A Bachelor’s Degree in Software Engineering, Computer Science, Information Systems, Mathematics, Statistics, or a similar field; Experience Working with Business Intelligence tools such as: Tableau, Power BI, other BI Tools is preferred; Experience Working with common SQL, ETL tools and Big Data tools such as Talend, Pentaho, Cloudera, MapR, Hortonworks, etc is preferred; Experienced with Data Warehouse concepts and principles; Experienced on developing the Business Intelligence roadmap architecture deliverable; Excellent communication skill and interpersonal skill; The work you’ll do:; As part of cross-functional, and work together with Sales and Presales team to design and build end-to-end business intelligence and data warehouse solutions.; Conduct Kick of Meeting with client; Conduct user requirement gathering (technical); Analysis and technical design the BI solution architecture and ensure alignment with the requirement; Responsible as technical leader in assigned project; What Cybertrend can offer you:; The unique opportunity to work within data science and artificial intelligence solution for various industries – real world data science, AI , Data Management and Governance experiences; Investment in your personal growth and skill development (clear career paths, mentorship and coaching, learning development, etc); Attractive compensation and benefits packages; An open-minded culture with innovative, autonomous teams; A clear set of company core values that guide everything we do: GROWTH mindset, SOLUTION oriented, INNOVATIVE achiever, COMPASSIONATE, GOTONG ROYONG and Cool & FUN",,Full time,indonesia,,
3,85875553,Data Engineer,PT Yayasan utama kasih,Kemayoran,2025-07-18 14:17:16.000000 UTC,https://id.jobstreet.com/id/job/85875553,"""Skill Requirements:1. System Requirement Analysis (related Data ingestion, data staging, data cleansing, data mart)2. Create Job workflow /ETL in AWS (have experience in other platform such as talend, snowflakes ect is plus value)3. Create data ingestion AWS4. Create script data cleansing/staging AWS5. Create complex subquery for data mart6. Create sub query as data mart7. Create API REST/ RESTFUL8. Create QA Scenario form (related data cleansing, data staging, data mart, tableau dashboard)9. System Integration Testing (related data cleansing, data staging, data mart, tableau dashboard)"" - Pria/Wanita- Berpengalaman- S1- Tidak ada batasan usia- Terima kandidat tanpa foto diri- Provinsi sesuai penempatan kerja (DKI Jakarta)",,Full time,indonesia,,
7,85841841,Cloud DevOps Engineer,PT Nomura Research Institute Indonesia,Jakarta,2025-07-17 02:45:02.000000 UTC,https://id.jobstreet.com/id/job/85841841,"Description:; About your responsibilities for the Role; Provision, configure and maintain infrastructure on cloud services; Design infrastructure architecture and implement it based on the client’s functional and non-functional requirements list.; Responds to incidents, and problems planning for growth.; Design and implement CI/CD pipeline.; Work with the development team to quickly deliver software.; Design and implement automation for infrastructure and code management.; Requirements:; What you need to have (Minimum Qualifications); Excellent knowledge of Cloud Services such as AWS, GCP, Azure, and Alibaba Cloud.; Excellent knowledge of IaC platforms such as Terraform, Pulumi, and AWS CDK.; Excellent knowledge of Linux administration.; Excellent knowledge in the administration of relational databases such as PostgreSQL, MySQL, and MariaDB.; Experience in designing and implementing computer networks and cloud security.; Excellent knowledge of CI/CD tools such as AWS Codepipeline, Gitlab CI, and Jenkins.; Excellent knowledge of Docker and Kubernetes; Excellent knowledge of using Git.; Working knowledge in Public Key Infrastructure system.; Experience in monitoring and logging such as GCP Stackdriver logging, AWS Cloudwatch, Grafana, and ELK.; Working knowledge of one or more of these programming languages: Go, Python, JavaScript, TypeScript.; Able to work as part of a team and or alone.; Can efficiently organize and prioritize tasks.; Can confidently identify and solve technical problems unaided and in a timely fashion.; Required language(s): English; Preferred:; What would make you stand out from the crowd (Preferred Qualifications); Knowledge of cybersecurity.; Able to design microservice architecture while considering the operation, security, and availability aspect.; .",,Full time,indonesia,,
110,84622042,Data Engineer,PT Data Labs Analytics,Central Jakarta,2025-06-30 13:16:45.000000 UTC,https://id.jobstreet.com/id/job/84622042,"Requirements:; Minimum 1 year of experience as a Data Engineer.; Proven experience with ETL tool setup and usage, especially Informatica; Talend is a plus.; Experience in building and maintaining data warehouses.; Solid understanding of ELT/ETL concepts, data integration, and data modeling.; Hands-on experience with cloud platforms like AWS, Google Cloud, Azure, Alibaba Cloud, etc.; Strong skills in SQL and relational databases.; Self-driven with good problem-solving skills and the ability to work both independently and in a team environment.; Willing to work in 24x7 rotating shifts including weekends and holidays.; Job desc:; Install, configure, and maintain ETL tools, primarily Informatica (preferred) or Talend.; Design and develop scalable ELT/ETL pipelines to support data integration and transformation.; Build and manage data warehouse infrastructure and architecture.; Monitor and optimize data pipeline performance and reliability.; Collaborate with data analysts, data scientists, and business teams to deliver efficient data solutions.; Document data architectures, pipelines, and processes.",,Full time,indonesia,,
121,83179115,Mobile Platform Engineer - Junior or Senior Consultant,EY,Jakarta,2025-06-17 16:17:33.000000 UTC,https://id.jobstreet.com/id/job/83179115,"About EY:; EY, a global leader operating in more than 150 countries delivers unparalleled service in Consulting and assists clients to transform and upskill their capabilities.; We serve our clients to build a better working world, helping them to create long-term value for people and society and build trust in the capital markets. That starts with a culture that believes in giving you the training, opportunities, and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we work towards our ambition to be the best employer.; EY advises clients to understand, architect, select and implement bleeding-edge solutions required to efficiently run their businesses, with a focus on Digital and Cloud. These service areas span E-commerce, Solution Architecture, Mobile Applications, Digital Platform Architecture, Digital Technology Strategy, and Digital IT Operations.; The exceptional EY experience. It’s yours to build.; The opportunity:; The Digital & Emerging Technology team works collaboratively with clients to transform their business through disruptive innovation enablement and transformational design solutions. The team supports our clients in modernizing systems, processes and products to enhance business and customer-facing platforms and services to support high performance in a rapidly changing and competitive environment. Our team helps clients sustain competitive advantage and profitability by developing technology strategies, products, and solutions to stay ahead of the rapid pace of change and disruption and supporting the execution of complex transformations.; We are seeking talented and passionate Mobile Engineers who have worked with modern software solutions including Flutter, React Native or other Mobile Framework to join our team, you will have opportunities to work on multiple backend services, talking directly to the end-users. While our teams primary focus is within the financial services industries, you will have opportunities to support other sectors including healthcare, automotive, high-tech, and media.; Your key responsibilities: ; The goal is to support our clients to transform their business through technology. As a Mobile Engineer you will be responsible for designing, developing, and maintaining high-quality mobile applications across different platforms. The ideal candidate will have a strong background in mobile development, design and develop efficient, scalable, and maintainable mobile applications for iOS and Android platforms, collaborate with cross-functional teams to define, design, and implement new features, collaborate with backend engineers to define and implement APIs, optimize code for improved performance and responsiveness, collaborate with QA engineers to ensure the reliability and quality of mobile applications, participate in code reviews to maintain code quality and consistency, and operating your team's software systems in a consistently high quality manner. When working on the systems within your team's domain, you take into account the appropriate architectural patterns, code design, and infrastructure options, ensuring that you deliver a system that is secure, reliable, maintainable, extensible and very well tested. Beyond delivery to the production system, engineers will be responsible for post deployment monitoring as well.; In addition to being trusted to operate independently, you also maintain a good partnership with your technical and non-technical stakeholders for projects that you are involved in. You take an active role in your projects as a team member involved in product design to rollout, taking ownership of your work and constantly focusing on moving these projects forward.; Being an experienced team member, you are also expected to continuously help the team grow and improve either by mentoring new or junior members of your team or by introducing and adopting process improvements.; Requirements:; Bachelor's degree (Computer Science, Computer Engineering or Mathematics) or related experience; 1-3 years of Development experience; Willing to work on-site or client's site; Strong knowledge of algorithms and data structures; Fluency in developing and understanding sequence diagrams, class models, etc.; Strong in fundamental programming like SOLID Principle, Clean Architecture or related fundamental knowledge and practices; Experience in writing maintainable and testable code, including API design, unit testing and UI testing techniques.; Experience with mobile development frameworks (e.g., Flutter, React Native); Familiar with Cloud Message APIs and Push Notifications; Proficient understanding of code versioning tools (preferably Git); Collaborate with backend team and product/experience teams; Highly accountable and takes ownership of one's own work.; Humble and hungry engineer. Always curious, always looking for a better way; Experience working in an Agile/Scrum development process.; For senior software engineer:; 4+ years of professional mobile software development experience; Experience owning an end-to-end feature; Possess excellent communication, sharp analytical abilities with proven design skills, able to think critically of the current system in terms of growth and stability; Ability to understand business requirements and translate them into technical requirements; Familiarity with modern build pipelines and tools; Identify and resolve performance and scalability issues; Ideally, you must have a:; Prior consulting experience relevant to industry-specific business and technology functions; Prior consulting experience highly preferred; What we look for; We’re interested in passionate individuals with a strong vision and a desire to stay on top of trends. If you have a genuine passion for helping businesses achieve their full potential, then these role(s) are for you.; What we offer; Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next; Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, on your way; Transformative leadership: We’ll give you the insights, coaching, and confidence to be the leader the world needs; Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs; If you can demonstrate that you meet the criteria above, please contact us as soon as possible.; EY is an equal opportunity, affirmative action employer providing equal employment opportunities to applicants and employees without regard to race, color, religion, age, sex, sexual orientation, gender identity/expression, national origin, protected veteran status, disability status, or any other legally protected basis, including arrest and conviction records, by applicable law.; EY is committed to providing reasonable accommodation to individuals with special needs. If you are a qualified individual with special needs and need assistance applying online or need to request an accommodation during the interview process, please speak to our HR executives, and we will be happy to help you.",,Full time,indonesia,,
