Job_ID,Role,Company,Location,Publish_Time,URL
84266811,Data Engineer Supervisor,PT. Cakra Radha Mustika,East Jakarta,2025-05-16 12:15:22,https://id.jobstreet.com/id/job/84266811
84876562,Data Engineer,"PT Japfa Comfeed Indonesia, Tbk",South Jakarta,2025-06-12 12:15:22,https://id.jobstreet.com/id/job/84876562
84696656,Data Engineer,"PT. Metrodata Electronics, Tbk",West Jakarta,2025-06-04 12:15:22,https://id.jobstreet.com/id/job/84696656
84906678,Junior Engineer,PT Supra Aluminium Industri,Pandaan,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84906678
84835847,Data Specialist (Engineer/Scientist/Governance),PT PESONNA OPTIMA JASA,Central Jakarta,2025-06-11 12:15:22,https://id.jobstreet.com/id/job/84835847
84715077,Data Engineer,PT SWAPRO INTERNATIONAL,East Jakarta,2025-06-05 12:15:22,https://id.jobstreet.com/id/job/84715077
84832865,Data Center Extra Low Voltage (ELV) Engineer,PT DIAN GRAHA ELEKTRIKA,Jakarta,2025-06-11 12:15:22,https://id.jobstreet.com/id/job/84832865
84663427,Data Engineer Management Cost,SCG,South Jakarta,2025-06-03 12:15:22,https://id.jobstreet.com/id/job/84663427
84692696,Data Engineer (ETL Developer),PT Informasi Teknologi Indonesia,South Jakarta,2025-06-04 12:15:22,https://id.jobstreet.com/id/job/84692696
84649780,AI & Data Engineer,Deep Symbolics Indonesia,Jakarta,2025-06-03 12:15:22,https://id.jobstreet.com/id/job/84649780
84904185,EHS Manager,PT Avery Dennison,South Cikarang,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84904185
84532584,Data Engineer,Siloam Hospitals Group (Tbk),Karawaci,2025-05-28 12:15:22,https://id.jobstreet.com/id/job/84532584
84662814,Data Engineer (ETL SSIS),PT Bumi Amartha Teknologi Mandiri,South Jakarta,2025-06-03 12:15:22,https://id.jobstreet.com/id/job/84662814
84645827,Data Analyst Staff,PT Perindustrian Bapak Djenggot (Orang Tua Group),West Jakarta,2025-06-03 12:15:22,https://id.jobstreet.com/id/job/84645827
84483011,Data Engineer,PT Solusi Pembayaran Elektronik,Cipondoh,2025-05-26 12:15:22,https://id.jobstreet.com/id/job/84483011
84382912,Data Engineer,PT IDStar Cipta Teknologi,Jakarta,2025-05-21 12:15:22,https://id.jobstreet.com/id/job/84382912
84263719,Data Engineer (Yogyakarta),PT Dipo Star Finance,Yogyakarta,2025-05-16 12:15:22,https://id.jobstreet.com/id/job/84263719
84442480,QNB Indonesia Aspire Internship Program (IT Internship),PT Bank QNB Indonesia Tbk,Central Jakarta,2025-05-23 12:15:22,https://id.jobstreet.com/id/job/84442480
84845967,Mechanical Engineer,PT Softex Indonesia,Karawang,2025-06-11 12:15:22,https://id.jobstreet.com/id/job/84845967
84275159,Data Engineer,PT Indocyber Global Teknologi,Jakarta,2025-05-16 12:15:22,https://id.jobstreet.com/id/job/84275159
83584141,Data Engineer,"PT. BFI FINANCE INDONESIA, Tbk",Tangerang District,2025-05-15 12:15:22,https://id.jobstreet.com/id/job/83584141
84905630,Warranty & Quality Planning Staff,PT Mitsubishi Motors Krama Yudha Indonesia,Cikarang Pusat,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84905630
84778124,Head of ME (Mechanical engineering),PT Tri Sinar Purnama,Semarang,2025-06-09 12:15:22,https://id.jobstreet.com/id/job/84778124
84472215,"General Manager, Renewable Energy",LYS ENERGY SOLUTIONS PTE. LTD.,Bekasi,2025-05-26 12:15:22,https://id.jobstreet.com/id/job/84472215
84798931,Production Staff (Assistant Leader),PT Maxxis International Indonesia,Cikarang,2025-06-10 12:15:22,https://id.jobstreet.com/id/job/84798931
84921987,Grease Formulation Analyst (Saponification R&D),CHAMPOIL Indonesia,North Jakarta,2025-06-14 11:15:22,https://id.jobstreet.com/id/job/84921987
84690202,Production Engineering Engineer,PT TDK ELECTRONICS INDONESIA,Batam,2025-06-04 12:15:22,https://id.jobstreet.com/id/job/84690202
84254883,Data Analyst Staff,Agung Sedayu Group,North Jakarta,2025-05-16 12:15:22,https://id.jobstreet.com/id/job/84254883
84528660,Product Flavorist/Testing Engineer (Surabaya Placement),PT. Warlbor International Indonesia,Surabaya,2025-05-28 12:15:22,https://id.jobstreet.com/id/job/84528660
84813814,IT Data Center - System Engineer Officer,OTO Group,South Jakarta,2025-06-10 12:15:22,https://id.jobstreet.com/id/job/84813814
84904601,System Engineer,APTECH RECRUITMENT SERVICE,Jakarta,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84904601
84916129,Warehouse Staff,Superior Prima Sukses Tbk,Central Java,2025-06-14 02:15:22,https://id.jobstreet.com/id/job/84916129
84697196,PURCHASING ENGINEERING,PT. OCWSB Pratama Indonesia,West Jakarta,2025-06-05 12:15:22,https://id.jobstreet.com/id/job/84697196
84512076,Lead Data Engineer,PT Solusi Pembayaran Elektronik,Cipondoh,2025-05-27 12:15:22,https://id.jobstreet.com/id/job/84512076
84313097,Supervisor Finance Accounting & Tax (FAT),PT Patria Menara Abadi,South Jakarta,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84313097
84832544,Data Center Facility Fire Protection System,PT DIAN GRAHA ELEKTRIKA,Jakarta,2025-06-11 12:15:22,https://id.jobstreet.com/id/job/84832544
84887433,Data Center & System Management Specialist,PT SGMW Motor Indonesia,Cikarang Pusat,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84887433
84921866,Polymer Chemistry and Materials Science Specialist,CHAMPOIL Indonesia,North Jakarta,2025-06-14 11:15:22,https://id.jobstreet.com/id/job/84921866
84835791,Junior Backend Engineer,PT. SUMMIT GLOBAL TEKNOLOGI,Tangerang,2025-06-11 12:15:22,https://id.jobstreet.com/id/job/84835791
84878664,Production Data Clerk,PT Smoore Technology Indonesia,Malang,2025-06-12 12:15:22,https://id.jobstreet.com/id/job/84878664
84350265,Senior Manufacturing Systems Developer (OTG),PT Excelitas Technologies Batam,Batam,2025-05-20 12:15:22,https://id.jobstreet.com/id/job/84350265
84412798,Senior Data Engineer,PT Amartha Mikro Fintek (Jakarta),Kebayoran Lama,2025-05-22 12:15:22,https://id.jobstreet.com/id/job/84412798
84353021,IoT Backend Engineer,PT. Bobobox Mitra Indonesia,Bandung,2025-05-20 12:15:22,https://id.jobstreet.com/id/job/84353021
84907312,POWERBI ENGINEER,PT Delta Marine Consultants,Bekasi,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84907312
84846013,Data Analitics,PT Kinarya Alihdaya Mandiri,South Jakarta,2025-06-11 12:15:22,https://id.jobstreet.com/id/job/84846013
84908095,Senior Software Engineer in Test (SDET),PT BLANKA JAYA INDONESIA,South Jakarta,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84908095
84719327,ENDP _IT Data System Engineer Of HSE Mining (Location: Kalsel),,South Kalimantan,2025-06-05 12:15:22,https://id.jobstreet.com/id/job/84719327
84866297,DevOps Engineer,PT Depoguna Bangunan Online,Jakarta,2025-06-12 12:15:22,https://id.jobstreet.com/id/job/84866297
84843604,Project Manager – Web Application Development,PT Radian Solusi Integral,South Jakarta,2025-06-11 12:15:22,https://id.jobstreet.com/id/job/84843604
84847681,Credit Risk Analyst (Fintech Data Scientist),PT Kuaikuai Tech Indonesia,West Jakarta,2025-06-11 12:15:22,https://id.jobstreet.com/id/job/84847681
84709914,Data Analyst Staff,PT Sukanda Djaya,Jakarta,2025-06-05 12:15:22,https://id.jobstreet.com/id/job/84709914
84249725,Planning Engineer,PT Oil States Indonesia,Batam Kota,2025-05-15 12:15:22,https://id.jobstreet.com/id/job/84249725
84346655,Data Analyst,PT Amman Mineral Nusa Tenggara,West Sumbawa,2025-05-20 12:15:22,https://id.jobstreet.com/id/job/84346655
84581731,Data Scientis,PT. IDX CONSULTING,Jakarta,2025-05-30 12:15:22,https://id.jobstreet.com/id/job/84581731
84495663,Capacity & Data Center Infra Engineer,PT Netciti Persada,Tangerang,2025-05-27 12:15:22,https://id.jobstreet.com/id/job/84495663
84896364,Electrical Maintenance- Spring Manufacture - Cikarang - WFO (ID: 662764),PT. PERSOLKELLY Recruitment Indonesia,South Cikarang,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84896364
84622129,Senior Network Security Engineer,PT Dinamika Sistem Integrasi Solusi,Jakarta,2025-06-02 12:15:22,https://id.jobstreet.com/id/job/84622129
84891805,Geology Geotech Team Leader,Sinarmas Mining,South Sumatra,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84891805
84842293,Chief Engineer,PT Sodexo Sinergi Indonesia,Karawang,2025-06-11 12:15:22,https://id.jobstreet.com/id/job/84842293
84676774,PRODUCT ENGINEERING ENGINEER,PT Communication Cable Systems Indonesia Tbk,Cilegon,2025-06-04 12:15:22,https://id.jobstreet.com/id/job/84676774
84890789,Compliance & QSHE Manager – Terminal Nusantara,PT. Meratus Line & Group,Surabaya,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84890789
84919134,Commisioning engineer,PT Modano Energi Indonesia,West Java,2025-06-14 07:15:22,https://id.jobstreet.com/id/job/84919134
84660679,ADMIN IT (ON-SITE),PT. INTERNET PRATAMA INDONESIA TBK,Jakarta,2025-06-03 12:15:22,https://id.jobstreet.com/id/job/84660679
84891280,Network Engineer (Tangerang),PT Karya Solusi Prima Sejahtera,Tangerang,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84891280
84367193,Environmental & Safety Engineer,PT BYD AUTO INDONESIA,Subang,2025-05-21 12:15:22,https://id.jobstreet.com/id/job/84367193
84847914,Logistic Engineer,PT Anugerah Tangkas Transportindo,West Jakarta,2025-06-11 12:15:22,https://id.jobstreet.com/id/job/84847914
84876187,Quality Assurance Officer,"PT SMART,Tbk",Jakarta,2025-06-12 12:15:22,https://id.jobstreet.com/id/job/84876187
84587155,Senior System Engineer,,South Jakarta,2025-05-30 12:15:22,https://id.jobstreet.com/id/job/84587155
84777317,Admin Marketing,PT. MASUYA GRAHA TRIKENCANA (Surabaya),Malang,2025-06-09 12:15:22,https://id.jobstreet.com/id/job/84777317
84894508,Business Development Analyst,SKINTIFIC,Jakarta,2025-06-13 12:15:22,https://id.jobstreet.com/id/job/84894508
84709226,Warehouse Manager,PT Sinergi Ayu Semesta,Bogor,2025-06-05 12:15:22,https://id.jobstreet.com/id/job/84709226
84534079,Inventory Data Analyst,PT Sukanda Djaya,Cibitung,2025-05-28 12:15:22,https://id.jobstreet.com/id/job/84534079
84722227,Well Site Geologist - Field Geotechnical Engineer,PT Groundcheck Inti Indonesia,Morowali,2025-06-05 12:15:22,https://id.jobstreet.com/id/job/84722227
84146753,Software Engineer – Data Platform,PT Trinusa Travelindo,Jakarta,2025-05-15 12:15:22,https://id.jobstreet.com/id/job/84146753
84659869,IT DATA CENTER (ON-SITE),PT. INTERNET PRATAMA INDONESIA TBK,Jakarta,2025-06-03 12:15:22,https://id.jobstreet.com/id/job/84659869
84281297,"Technician, Project Engineering",ASIA PULP AND PAPER,Karawang,2025-05-16 12:15:22,https://id.jobstreet.com/id/job/84281297
