Job_ID,Role,Company,Location,Publish_Time,URL
85169790,Talent Acquisition Officer (Contract),PT Chandra Asri Pacific Tbk,West Jakarta,2025-06-26 06:53:46,https://id.jobstreet.com/id/job/85169790
85370251,Fullstack Engineer,PT METRA DIGITAL MEDIA BY TELKOM INDONESIA,South Jakarta,2025-07-02 06:53:46,https://id.jobstreet.com/id/job/85370251
85289945,IT Operations Engineer,PT BDX Data Center Indonesia,Jakarta,2025-07-01 06:53:46,https://id.jobstreet.com/id/job/85289945
85220393,QUANTITY SURVEYOR,PT Amman Mineral Nusa Tenggara,West Sumbawa,2025-06-27 06:53:46,https://id.jobstreet.com/id/job/85220393
85008075,Geotechnical Engineer,Sinarmas Mining,East Kalimantan,2025-06-19 06:53:46,https://id.jobstreet.com/id/job/85008075
84785028,Building & Facility Maintenance Dept Head - SCN Logistics Groups,PT Citra Tubindo Tbk,Batam,2025-06-10 06:53:46,https://id.jobstreet.com/id/job/84785028
85307773,Security Engineer (Junior / Middle Level),PT Mitra Solusi Infokom,West Jakarta,2025-07-02 06:53:46,https://id.jobstreet.com/id/job/85307773
85234917,Consultant Environment & Social -Senior Analyst,Black & Veatch (Thailand) Ltd.,Jakarta,2025-06-28 06:53:46,https://id.jobstreet.com/id/job/85234917
84622042,Data Engineer,PT Data Labs Analytics,Central Jakarta,2025-07-01 06:53:46,https://id.jobstreet.com/id/job/84622042
85058248,Asset Maintenance Expert,Black & Veatch (Thailand) Ltd.,Jakarta,2025-06-20 06:53:46,https://id.jobstreet.com/id/job/85058248
84688912,Secretary,PT. SHINSUNG ENC INDONESIA,Bekasi Regency,2025-06-05 06:53:46,https://id.jobstreet.com/id/job/84688912
85235040,Senior Analyst-Consulting-Transaction Advisory,Black & Veatch (Thailand) Ltd.,Jakarta,2025-06-28 06:53:46,https://id.jobstreet.com/id/job/85235040
85375568,Contracts Manager (Contract Based),PT Worley Sea Indonesia,Southeast Sulawesi,2025-07-02 09:53:46,https://id.jobstreet.com/id/job/85375568
85252666,Quantity Surveyor,SM+,Jakarta,2025-06-30 06:53:46,https://id.jobstreet.com/id/job/85252666
85371720,Expression of Interest - Senior QA QC Engineer,PT Worley Sea Indonesia,South Jakarta,2025-07-02 07:53:46,https://id.jobstreet.com/id/job/85371720
85370863,Expression of Interest - Senior Offshore Structural Engineer,PT Worley Sea Indonesia,South Jakarta,2025-07-02 07:53:46,https://id.jobstreet.com/id/job/85370863
85102256,SOC - Security Engineer,PT Pasifik Global Integrasi,South Jakarta,2025-06-24 06:53:46,https://id.jobstreet.com/id/job/85102256
85376004,Expression of Interest - Sr. Pipeline Engineer (Contract Based),PT Worley Sea Indonesia,South Jakarta,2025-07-02 09:53:46,https://id.jobstreet.com/id/job/85376004
85269596,Human Resources Manager,PT Pulau Sambu,North Jakarta,2025-07-01 06:53:46,https://id.jobstreet.com/id/job/85269596
84969426,Infrastucture Planning Associate,Damai Putra Group,Bekasi,2025-06-17 06:53:46,https://id.jobstreet.com/id/job/84969426
85027653,Production Management Supervisor,PT Tri Sakti Purwosari Makmur (KT&G Group),Pasuruan,2025-06-19 06:53:46,https://id.jobstreet.com/id/job/85027653
85375215,Expression of Interest - Permit Coordinator (Contract Based),PT Worley Sea Indonesia,Jakarta,2025-07-02 09:53:46,https://id.jobstreet.com/id/job/85375215
84907312,POWERBI ENGINEER,PT Delta Marine Consultants,Bekasi,2025-06-14 06:53:46,https://id.jobstreet.com/id/job/84907312
85075271,SUPERINTENDENT PLANNING COST & TOWN FACILITIES,PT Amman Mineral Nusa Tenggara,West Sumbawa,2025-06-21 06:53:46,https://id.jobstreet.com/id/job/85075271
85360512,"Customer Solutions Consultant, Infrastructure Modernization, Google Cloud",Google,Jakarta,2025-07-02 06:53:46,https://id.jobstreet.com/id/job/85360512
85266561,HR Digitalization Officer,PT Chandra Asri Pacific Tbk,West Jakarta,2025-07-01 06:53:46,https://id.jobstreet.com/id/job/85266561
85265309,Data Center MEP Project Manager,PT ZTE Indonesia,Batam,2025-07-01 06:53:46,https://id.jobstreet.com/id/job/85265309
85194678,CTS Engineer (Security) for Integra,PT. Lintas Teknologi Indonesia,South Jakarta,2025-06-26 06:53:46,https://id.jobstreet.com/id/job/85194678
85377149,Expression of Interest - Sr. Pipeline Designer (Contract Based),PT Worley Sea Indonesia,South Jakarta,2025-07-02 09:53:46,https://id.jobstreet.com/id/job/85377149
85365801,Electrical Designer/Drafter (Telecommunication Company),PT YPTT Solutions Indonesia,Jakarta,2025-07-02 06:53:46,https://id.jobstreet.com/id/job/85365801
85419999,Sales Consultant (Contract Based),PT Worley Sea Indonesia,South Jakarta,2025-07-03 02:53:46,https://id.jobstreet.com/id/job/85419999
85121710,Cloud Engineer,PT AQ Business Consulting Indonesia,Yogyakarta Special Region,2025-06-24 06:53:46,https://id.jobstreet.com/id/job/85121710
84866297,DevOps Engineer,PT Depoguna Bangunan Online,Jakarta,2025-06-12 06:53:46,https://id.jobstreet.com/id/job/84866297
85408346,Head of Product - Ads,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-07-03 00:53:46,https://id.jobstreet.com/id/job/85408346
85205529,Data Center Hardware & Database Manager,PT Kapal Api Global,Jakarta,2025-06-27 06:53:46,https://id.jobstreet.com/id/job/85205529
84684916,"IT Support Engineer (Batam, Indonesia Stationed)",Simatelex Manufactory Co Ltd,Batam,2025-06-16 06:53:46,https://id.jobstreet.com/id/job/84684916
85097987,IT System Engineer Staff,PT Indonesia Epson Industry,Bekasi,2025-06-23 06:53:46,https://id.jobstreet.com/id/job/85097987
85064703,IT INFRASTRUCTURE SUPPORT (ON-SITE),PT. INTERNET PRATAMA INDONESIA TBK,Makassar,2025-06-21 06:53:46,https://id.jobstreet.com/id/job/85064703
84997050,Data Engineer,"PT DCI Indonesia, Tbk",Cibitung,2025-06-18 06:53:46,https://id.jobstreet.com/id/job/84997050
85309587,"Lead Software Engineer, Fullstack",PT Solusi Transportasi Indonesia,Sawah Besar,2025-07-02 06:53:46,https://id.jobstreet.com/id/job/85309587
84710124,ICT Cloud Engineer,PT Ellipse Projects Indonesia,South Jakarta,2025-06-24 06:53:46,https://id.jobstreet.com/id/job/84710124
85315506,Merchant Marketing Senior Associate - Incubation,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-07-02 06:53:46,https://id.jobstreet.com/id/job/85315506
85062349,IT DATA CENTER (ON-SITE),PT. INTERNET PRATAMA INDONESIA TBK,Riau,2025-06-21 06:53:46,https://id.jobstreet.com/id/job/85062349
85295527,Backend Engineer,,Central Jakarta,2025-07-01 06:53:46,https://id.jobstreet.com/id/job/85295527
84865187,DevOps Engineer (AWS Cloud) - Jakarta - WFO (ID: 677252),PT. PERSOLKELLY Recruitment Indonesia,Jakarta,2025-06-12 06:53:46,https://id.jobstreet.com/id/job/84865187
85124023,Site Engineer - Forestry & Paper Manufacturing (Riau),PT Trust Recruit Indonesia,Riau Islands,2025-06-24 06:53:46,https://id.jobstreet.com/id/job/85124023
85295942,DevOps Engineer,,Central Jakarta,2025-07-01 06:53:46,https://id.jobstreet.com/id/job/85295942
84946124,IT System Engineer,FIBERSTAR (PT. Mega Akses Persada),South Jakarta,2025-06-16 06:53:46,https://id.jobstreet.com/id/job/84946124
84817062,Technical Support (Mandarin Speaker),PT Sisindokom Lintasbuana,Central Jakarta,2025-06-11 06:53:46,https://id.jobstreet.com/id/job/84817062
84938789,IT Field Officer,PT Merdeka Tsingshan Indonesia,Morowali,2025-06-16 06:53:46,https://id.jobstreet.com/id/job/84938789
85315576,Senior Product Manager - Cartography,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-07-02 06:53:46,https://id.jobstreet.com/id/job/85315576
85293012,Cloudera Solution Architect,"PT. Metrodata Electronics, Tbk",West Jakarta,2025-07-01 06:53:46,https://id.jobstreet.com/id/job/85293012
84887433,Data Center & System Management Specialist,PT SGMW Motor Indonesia,Cikarang Pusat,2025-06-13 06:53:46,https://id.jobstreet.com/id/job/84887433
85036826,Lead Facilities Engineer - Data Center (Batam),PT Michael Page Internasional Indonesia,Batam,2025-06-20 06:53:46,https://id.jobstreet.com/id/job/85036826
84773522,HRGA Dept Head,PT Steel Pipe Industry of Indonesia Tbk,Karawang,2025-06-16 06:53:46,https://id.jobstreet.com/id/job/84773522
85093704,Presales,"PT. Metrodata Electronics, Tbk",West Jakarta,2025-06-23 06:53:46,https://id.jobstreet.com/id/job/85093704
85177762,Software Engineer,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-26 06:53:46,https://id.jobstreet.com/id/job/85177762
85158238,Senior Frontend Engineer - Indonesia - Remote (29578),CSG International Sdn. Bhd.,Bali,2025-06-25 06:53:46,https://id.jobstreet.com/id/job/85158238
84842293,Chief Engineer,PT Sodexo Sinergi Indonesia,Karawang,2025-06-12 06:53:46,https://id.jobstreet.com/id/job/84842293
85273267,Solution Architect,PT Trinusa Travelindo,Jakarta,2025-07-01 06:53:46,https://id.jobstreet.com/id/job/85273267
84879075,Cloud Engineer,PT Accelist Lentera Indonesia,West Jakarta,2025-06-13 06:53:46,https://id.jobstreet.com/id/job/84879075
84815124,Senior Linux System Engineer,"PT SMART,Tbk",Jakarta,2025-06-11 06:53:46,https://id.jobstreet.com/id/job/84815124
85133035,DevOps/SRE,PT SOD Technology Indonesia,Jakarta,2025-06-25 06:53:46,https://id.jobstreet.com/id/job/85133035
84782578,Senior Backend Developer (Rust),Tripedge,Jakarta,2025-06-10 06:53:46,https://id.jobstreet.com/id/job/84782578
84662409,Site Reliability Engineer [Malang],Shipper,Malang,2025-06-04 06:53:46,https://id.jobstreet.com/id/job/84662409
84839563,Business Development Manager,PT Aten Technology Indonesia,Jakarta,2025-06-11 06:53:46,https://id.jobstreet.com/id/job/84839563
85129813,Purchasing Manager,City 8 Unipessoal,Jakarta,2025-06-24 06:53:46,https://id.jobstreet.com/id/job/85129813
85121975,Account Manager,PT. Solusi Jasa Teknologi,South Tangerang,2025-06-24 06:53:46,https://id.jobstreet.com/id/job/85121975
85011540,Model Validation Department Head (Banking),PT Daya5 Rekrutmen,Jakarta,2025-06-19 06:53:46,https://id.jobstreet.com/id/job/85011540
84659869,IT DATA CENTER (ON-SITE),PT. INTERNET PRATAMA INDONESIA TBK,Jakarta,2025-06-04 06:53:46,https://id.jobstreet.com/id/job/84659869
85038410,Data Center Facility Manager (Batam-Based),PT Michael Page Internasional Indonesia,Jakarta,2025-06-20 06:53:46,https://id.jobstreet.com/id/job/85038410
85132887,Engineering (Amerika),PT Asia Tengah Konstruksi,Tangerang,2025-06-25 06:53:46,https://id.jobstreet.com/id/job/85132887
85032405,Lead Frontend Engineer - Indonesia - Remote (29068),CSG International Sdn. Bhd.,Bali,2025-06-19 06:53:46,https://id.jobstreet.com/id/job/85032405
81104830,DevOps Engineer (Senior/Middle Level),PT Amartha Mikro Fintek (Jakarta),Kebayoran Lama,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/81104830
81976751,Voice and Collaboration Engineer,PT Trinusa Travelindo,Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/81976751
84813073,Kotlin Backend Engineer,PT Majura Digital Solusi,Surabaya,2025-06-13 06:53:46,https://id.jobstreet.com/id/job/84813073
84786975,Commercial Management Analyst,"PT Tower Bersama Infrastructure, Tbk",Jakarta,2025-06-10 06:53:46,https://id.jobstreet.com/id/job/84786975
85186930,Associate - Enterprise System and Transformation Assurance,PwC Indonesia,Jakarta,2025-06-26 06:53:46,https://id.jobstreet.com/id/job/85186930
85013215,Cyber Security Support,,Jakarta,2025-06-19 06:53:46,https://id.jobstreet.com/id/job/85013215
84838503,Field Service Engineer (HVAC & Thermal Cooling),Vertiv,South Jakarta,2025-06-11 06:53:46,https://id.jobstreet.com/id/job/84838503
84812502,Digital Engineer,"PT SMART,Tbk",South Jakarta,2025-06-11 06:53:46,https://id.jobstreet.com/id/job/84812502
80847937,Backend Engineer (Golang) - Senior/Principal Level,PT Amartha Mikro Fintek (Jakarta),Kebayoran Lama,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/80847937
84896889,Network Security Engineer (L3),PT ABISHAR TECHNOLOGIES INDONESIA,Jakarta,2025-06-13 06:53:46,https://id.jobstreet.com/id/job/84896889
83584141,Data Engineer,"PT. BFI FINANCE INDONESIA, Tbk",Tangerang District,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/83584141
84695711,"Senior/Staff Front End Engineer, Distribution",Coda Payments Pte Ltd,Jakarta,2025-06-05 06:53:46,https://id.jobstreet.com/id/job/84695711
85014300,Voice and Collaboration Engineer,PT Trinusa Travelindo,Tangerang District,2025-06-19 06:53:46,https://id.jobstreet.com/id/job/85014300
84817757,Pre-Sales (Enterprise Computing),PT Acer Indonesia,Central Jakarta,2025-06-11 06:53:46,https://id.jobstreet.com/id/job/84817757
84987373,Quantitative Developer,TurnkeyID,Batu,2025-06-18 06:53:46,https://id.jobstreet.com/id/job/84987373
84949430,MEP/HVAC/ELV Expert - Mandarin Speaking,PT Trust Recruit Indonesia,Batam,2025-06-17 06:53:46,https://id.jobstreet.com/id/job/84949430
84712514,Scheduler Engineering Officer,,Central Jakarta,2025-06-05 06:53:46,https://id.jobstreet.com/id/job/84712514
85024311,Marketing Engineer – Fan & Ventilation (Industrial HVAC),PT Talenta Eksekutif Asia (Matcha Talent),Jakarta,2025-06-19 06:53:46,https://id.jobstreet.com/id/job/85024311
84903465,Data Center Project Manager - Mandarin Speaking,PT Trust Recruit Indonesia,South Jakarta,2025-06-14 06:53:46,https://id.jobstreet.com/id/job/84903465
84822095,"Senior Software Engineer, Backend (Reliability & Developer Experience)",PT Solusi Transportasi Indonesia,Jakarta,2025-06-11 06:53:46,https://id.jobstreet.com/id/job/84822095
85072027,Marketing Analytics Manager,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-21 06:53:46,https://id.jobstreet.com/id/job/85072027
84602440,Lead Data Engineer,PT Solusi Transportasi Indonesia,Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/84602440
85022201,Senior Presales (Private Cloud Data Center),PT Nusantara Compnet Integrator,West Jakarta,2025-06-19 06:53:46,https://id.jobstreet.com/id/job/85022201
84695173,ERP Technical Consultant - IT Consulting - Jakarta (B-118692),RGF HR Agent Indonesia,South Jakarta,2025-06-05 06:53:46,https://id.jobstreet.com/id/job/84695173
84126726,"Senior Data Analyst, Anti-Fraud",PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/84126726
84817461,Software Engineer Oracle,PT Trinusa Travelindo,Jakarta,2025-06-10 06:53:46,https://id.jobstreet.com/id/job/84817461
82235409,Senior Software Engineer,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/82235409
84713795,AI Solutions Architect - Tech Company (Mandarin-speaking),PT Michael Page Internasional Indonesia,Jakarta,2025-06-05 06:53:46,https://id.jobstreet.com/id/job/84713795
84410806,Lead Software Engineer,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/84410806
84853629,Software Engineer,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-12 06:53:46,https://id.jobstreet.com/id/job/84853629
80163466,Cloud Security Consultant/Engineer,PT Accenture,Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/80163466
84533418,"Engineering Manager II, Backend (Lending)",PT Solusi Transportasi Indonesia,Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/84533418
83074827,FP&A Manager - Data Specialist (Contract),PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/83074827
83045136,FP&A Manager - Data Specialist (Contract),PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/83045136
82625226,Senior Data Analyst - Growth,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/82625226
84560520,Product Growth Manager,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/84560520
82235797,Senior Software Engineer,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/82235797
82235359,Lead Software Engineer,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/82235359
82222960,Salesforce - Associate to Senior Associate - Core Developer,PwC Indonesia,Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/82222960
83020236,FY25 - Assurance - Manager & Senior Manager - IT Cybersecurity,PwC Indonesia,Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/83020236
84600226,Tender Manager,PT Schneider Electric,Cilandak,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/84600226
84869974,Senior/Staff Full Stack Engineer,Coda Payments Pte Ltd,Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/84869974
84849082,Senior Lead Product Manager,PT Amartha Mikro Fintek (Jakarta),Kebayoran Lama,2025-06-11 06:53:46,https://id.jobstreet.com/id/job/84849082
78475260,Software Backend Engineer,PT Trinusa Travelindo,Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/78475260
80617025,Associate - Senior Associate - IFS - Application Development,PwC Indonesia,Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/80617025
84258272,"Merchant Marketing Senior Associate, Growth Promo",PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/84258272
83491431,Product Design Lead,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/83491431
82752338,"Processing Manager, Concentrating",PT Freeport Indonesia,Papua,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/82752338
84838555,Field Service Engineer (Power UPS),Vertiv,South Jakarta,2025-06-11 06:53:46,https://id.jobstreet.com/id/job/84838555
82028084,Senior Product Manager - Food,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/82028084
83975319,Data Analyst - Driver Experience & Fulfillment,PT Aplikasi Karya Anak Bangsa (GO-JEK Indonesia),Jakarta,2025-06-03 06:53:46,https://id.jobstreet.com/id/job/83975319
84782498,Senior Frontend Developer (Nuxt),Tripedge,Jakarta,2025-06-10 06:53:46,https://id.jobstreet.com/id/job/84782498
85038145,Administration Coordinator,PT Satu Bumi,Bantul,2025-06-20 06:53:46,https://id.jobstreet.com/id/job/85038145
85379186,Data Engineer,GoTo Group,Jakarta,2025-07-02 06:53:46,https://id.jobstreet.com/id/job/85379186
85384206,Data Center Facility Engineer,Oracle,Batam,2025-07-02 19:53:46,https://id.jobstreet.com/id/job/85384206
85375914,IT System Engineer,PT NH Korindo Sekuritas Indonesia,South Jakarta,2025-07-02 09:53:46,https://id.jobstreet.com/id/job/85375914
85381573,Data Engineer,PT AIA Financial,Jakarta,2025-07-02 06:53:46,https://id.jobstreet.com/id/job/85381573
85315350,IT Network Ass Manager,Company Confidential,Jakarta,2025-06-27 06:53:46,https://id.jobstreet.com/id/job/85315350
85269477,DATA ENGINEER,ICS Compute,Kebayoran Lama,2025-07-01 06:53:46,https://id.jobstreet.com/id/job/85269477
85376425,IT Network Engineer,PT NH Korindo Sekuritas Indonesia,South Jakarta,2025-07-02 09:53:46,https://id.jobstreet.com/id/job/85376425
85104576,Sales Manager Data Center Infrastructure,PT Westindo Esa Perkasa,North Jakarta,2025-06-24 06:53:46,https://id.jobstreet.com/id/job/85104576
85157917,Cloud Engineer,PT Data Labs Analytics,Central Jakarta,2025-06-25 06:53:46,https://id.jobstreet.com/id/job/85157917
