Job_ID,Role,Company,Location,Publish_Time,URL,job_desc,salary,work_type,country
85778401,Data Center Facility Engineer,PRO-MATRIX PTE LTD,South Cikarang,2025-07-15 16:36:52,https://id.jobstreet.com/id/job/85778401,"Roles & Responsibilities:; 24 shift duty at Client’s Data center  Data Center space, 5000m² (Including Data Hall, NOC room, Meeting Room, Staging room, Storage Room, BCP room, Loading bay, etc.); Ensuring availability for Client to log Incidents, Problems, Change Requests and Service Requests by phone or email 24 hours per day, 365 days a year.; Monitor for the availability of facility and equipment items within a 24/7 Service Calendar.; Assist Assistant DC Manager / DC Facility Supervisor to manage day to day FM operations of accounts.; Ensure fulfilment of scheduled commitments for FM teams.; Ensure good planning and execution of service schedules.; Assist in training staff members on proper work processes, operating procedures, equipment servicing, etc., and manage FM engineers’ technical competencies.; Manage Staff deployment and attendance administration.; Motivate site staff and ensure safe & conducive work environment.; Manage customers’ expectation and deliverables, and establish rapport for long term customer relationship.; Manage onsite vendors and ensure timely and quality work.; Provides solution proposals to clients for issues encountered onsite.; Provide support to other FM site Teams for any emergency situation.; Ensure continuous site improvements in areas of M&E Infrastructure, green initiatives and operational processes.; Responsible for FM Quotation submission and obtain of Vendor quotation.; Ensure tool box / daily ops meeting to be conducted c/w MOM.; To provide regular support to update of the Asset Management, Risk Management, Incident Management, Weekly Report, Monthly Report and Quarterly Report.; Review and provide close support to the onsite team to generate the Lifecycle replacement program, create opportunities to meet sales revenue targets.; Any other duties assigned by Manager (FM)/ DC Facility Supervisor.;  What will make you successful:; Candidate must possess at Diploma or Bachelor’s degree in Engineering, Electronics, or a related field.; Required language(s): Bahasa Indonesia, English.; Minimum of 2 years of experience as a maintenance or technician on building facilities or data center environment.; Proficiency in diagnosing and troubleshooting issues.; Independent and possess initiative.; Good communication and interpersonal skills.; Willing to be placed at the project site.; Willing to work on shifts.",,Kontrak/Temporer,indonesia
85121710,Cloud Engineer,PT AQ Business Consulting Indonesia,Yogyakarta Special Region,2025-06-24 16:36:52,https://id.jobstreet.com/id/job/85121710,"This position involves creating and maintaining CI/CD pipelines, enhancing application monitoring and containerization, and strengthening cloud-native deployment. You’ll also build internal automation tools, collaborate with development and infrastructure teams, and participate in the entire delivery lifecycle. Adhering to development standards and addressing daily production issues is essential.; Requirements:; 3+ years of application deployment and operations experience on cloud platforms (AWS, GCP, Azure, etc.); Experience creating and maintaining CI/CD pipelines; Experience with monitoring tools (Prometheus, Grafana, ELK Stack, etc.); Working experience with container technologies such as Docker, Kubernetes, etc.; Experience with scripting languages such as Python, Bash, etc.; Experience with infrastructure code (Terraform, CloudFormation, Ansible, etc.); Advanced troubleshooting skills and problem solving abilities; Communication skills to work collaboratively with team members; Project management skills(optional); Documentation skills; Experience in customer proposal/pre-sale; Experience with AI, ML and data lake implementation(optional); Experience in handling cases in English or Japanese",,Full time,indonesia
85436252,Data Engineer,Sibernetik Integra Data,South Jakarta,2025-07-03 16:36:52,https://id.jobstreet.com/id/job/85436252,"Responsibilities :; Create and maintain optimal data pipeline architecture; Assemble large, complex data sets that meet functional / non-functional business requirements.; Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.;  Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and On-prem/ Cloud technologies.; Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics; Qualifications :; 2-4 years of experience as a data engineer.; Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.; ETL tools knowledge is required.; Experience building and optimizing big data pipelines, architectures and data sets.; Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.;  Strong analytic skills related to working with unstructured datasets.; Build processes supporting data transformation, data structures, metadata, dependency and workload management.; A successful history of manipulating, processing and extracting value from large disconnected datasets.",,Kontrak/Temporer,indonesia
85686745,"Expert, Cloudera & Dataiku (Data Engineer)",ASIA PULP AND PAPER,South Tangerang,2025-07-11 16:36:52,https://id.jobstreet.com/id/job/85686745,"We are looking for Data Engineer to be part of our IT Business Insight and Analytics Team.; Job Description:; Mining data from primary and secondary sources, then reorganizing said data in a format that can be used by next process such as data analytics, data science or any AI/ML processes; Manage day-to-day operation in collecting, storing, processing and analyzing huge sets of data including construct data storages and data-access tools (data lake approach); Monitor overal performance and stability of the system, warehouse cleansing and ensure track pipeline stability; Job Requirements:; Have at least 7-12 years of experience in data lake implementation; Experience on design & setup data lake architecture, topology, and infrastructure; Experience with ETL and ELT data pipeline hands-on & implementation; Proficient with data lake related skills, such as : Cloudera, Dataiku, Object Storage, Hadoop, Spark, Kafka, Airflow,Dremio, Python, R, Docker, Kubernetes, Iceberg/HUDI, etc; Good & have passion on data processing; Working location: Serpong",,Full time,indonesia
84622042,Data Engineer,PT Data Labs Analytics,Central Jakarta,2025-06-30 16:36:52,https://id.jobstreet.com/id/job/84622042,"Requirements:; Minimum 1 year of experience as a Data Engineer.; Proven experience with ETL tool setup and usage, especially Informatica; Talend is a plus.; Experience in building and maintaining data warehouses.; Solid understanding of ELT/ETL concepts, data integration, and data modeling.; Hands-on experience with cloud platforms like AWS, Google Cloud, Azure, Alibaba Cloud, etc.; Strong skills in SQL and relational databases.; Self-driven with good problem-solving skills and the ability to work both independently and in a team environment.; Willing to work in 24x7 rotating shifts including weekends and holidays.; Job desc:; Install, configure, and maintain ETL tools, primarily Informatica (preferred) or Talend.; Design and develop scalable ELT/ETL pipelines to support data integration and transformation.; Build and manage data warehouse infrastructure and architecture.; Monitor and optimize data pipeline performance and reliability.; Collaborate with data analysts, data scientists, and business teams to deliver efficient data solutions.; Document data architectures, pipelines, and processes.",,Full time,indonesia
85749086,"Software Engineer, Backend - Business Platform",PT Solusi Transportasi Indonesia,Jakarta,2025-07-14 16:36:52,https://id.jobstreet.com/id/job/85749086,"Company Description; About Grab and Our Workplace; Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility.; Job Description; Get to Know the Team; The Business Platform team develops and optimizes the core platform for every business in Southeast Asia to connect, engagement and transact with Grab Consumer. The Core Experience of the Business Platform at Grab, involves a range of fundamental features that the product, platform or service will deliver to the Merchants. We adopt a microservice architecture on the backend and use several frontend techniques (e.g. IOS, ADR, Flutter, and Web) to serve our end-users (e.g. Merchants, Business Partners) across 8 countries. We generalize our microservices into platforms to improve the speed of the market of new products. We follow an adaptive system principle, in which systems keep improving upon different feedback signals without human intervention.; Get to Know the Role; As a Software Backend Engineer at Grab, you will design, develop, and maintain scalable backend systems that power our superapp. You will work with cross-functional teams to deliver high-quality solutions that impact millions of users across Southeast Asia. You will report to the Engineering Manager. You will be based on site in Jakarta office.; The Critical Tasks You Will Perform; Design, develop, and maintain robust, scalable, and secure backend services and APIs.; Collaborate with product managers, frontend engineers, and other stakeholders to deliver new features and improvements.; Write clean, maintainable, and efficient code following best practices.; Participate in code reviews, architecture discussions, and contribute to technical decision-making.; Optimize application performance, reliability, and scalability.; Mentor and guide junior engineers, fostering a culture of learning and growth.; Troubleshoot and resolve production issues, ensuring high availability of services.; Stay up-to-date with the latest industry trends and technologies.; Qualifications; What Essential Skills You Will Need; The Must-Haves:; Min. Bachelor's degree in Computer Science, Software Engineering, Information Technology, or related fields.; You are curious and stay informed about relevant technology trends and developments new things and embrace the latest technologies; You have solid Computer Science fundamentals in algorithms and data structures.; You have a sound understanding of system performance and scaling.; You can be a good coder in any programming language, but must be willing to work on Golang.; You are passionate about building products, features, and platforms to accelerate business growth.; 3+ years of experience building software systems for delivery business or order systems would be beneficial.; You have Heart, Hunger, Honour, and Humility.; The Nice-to-Haves:; Our core services tech stack consists of Golang with Redis, MySQL and DynamoDB data stores. They all run on the AWS cloud infrastructure with auto-scaling abilities.; We use GitLab for our code repository and we adhere to the basic Continuous Delivery tenets using a host of tools to support our release pipeline and code quality. These include GitLab CI, DataDog, Kibana, and Terraform; Additional Information; Life at Grab; We care about your well-being at Grab, here are some of the global benefits we offer:; We have your back with Term Life Insurance and comprehensive Medical Insurance.; With GrabFlex, create a benefits package that suits your needs and aspirations.; Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leave; We have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.; Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours; What We Stand For At Grab; We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,Full time,indonesia
85376004,Expression of Interest - Sr. Pipeline Engineer (Contract Based),PT Worley Sea Indonesia,South Jakarta,2025-07-02 16:36:52,https://id.jobstreet.com/id/job/85376004,"About the job; We’re looking for a Senior Pipeline Engineer (Contract Based) to join our Indonesia team.; When you work for us, you get the chance to join nearly 50,000 people all driven by a common purpose of delivering a more sustainable world. We’re excited about the challenges ahead. We believe there’s never been a more rewarding time to work in the energy, chemical and resources sectors.; As Senior Pipeline Engineer, you will be responsible for the pipeline system facilities.; To succeed in this role, you should have minimum ten (10) years’ experience in Oil & Gas industry and minimum seven (7) years’ experience in engineering design of Pipeline systems including mechanical design, PLETS, installation, and pre-commissioning.; Who we are; Worley is a global professional services company of energy, chemicals and resources experts headquartered in Australia.; Right now, we’re bridging two worlds as we accelerate to more sustainable energy sources, while helping our customers provide the energy, chemicals and resources that society needs now.; We partner with our customers to deliver projects and create value over the life of their portfolio of assets. We solve complex problems by finding integrated data-centric solutions from the first stages of consulting and engineering to installation and commissioning, to the last stages of decommissioning and remediation. Join us and help drive innovation and sustainability in our projects.; What you’ll do; We are looking for Senior Pipeline Engineer to join our team in Jakarta, Indonesia.; The role responsibilities include:; Responsible for the pipeline system facilities, by developing the design concepts, design criteria and specifications, performing analysis, calculations and reviewing and implementing government regulations as well as industrial codes and practices in order to satisfy COMPANY requirements.; What you’ll have; Bachelor of Science Degree in Engineering related field, and ideally be professionally registered or chartered as an engineer with a recognized engineering body.; Minimum ten (10) years’ experience in Oil & Gas industry.; Minimum seven (7) years’ experience in engineering design of Pipeline systems including mechanical design, PLETS, installation, and pre-commissioning.; Experience relating to coordination of offshore installation activities in deepwater and shallow water inclusive of shore pull-in and commissioning activities.; A thorough knowledge of the relevant Industry codes and standards is required.; Demonstrate capability in Pre-FEED, FEED and/or EPCI by listing up the experienced project names and Project Phases of Pre-FEED, FEED and EPCI.; Moving forward together; We want our people to be energized and empowered to drive sustainable impact. So, our focus is on a values-inspired culture that unlocks brilliance through belonging, connection and innovation.; We’re building a diverse, inclusive and respectful workplace. Creating a space where everyone feels they belong, can be themselves, and are heard.; And we're not just talking about it; we're doing it. We're reskilling our people, leveraging transferable skills, and supporting the transition of our workforce to become experts in today's low carbon energy infrastructure and technology.; Whatever your ambition, there’s a path for you here. And there’s no barrier to your potential career success. Join us to broaden your horizons, explore diverse opportunities, and be part of delivering sustainable change.; Ready to join us? Apply now to submit your CV",,Full time,indonesia
85360512,"Customer Solutions Consultant, Infrastructure Modernization, Google Cloud",Google,Jakarta,2025-07-02 16:36:52,https://id.jobstreet.com/id/job/85360512,"Minimum qualifications:; Bachelor's degree or equivalent practical experience.; 6 years of experience with cloud native architecture in a customer-facing or support role.; Experience with cloud engineering, on-premise engineering, virtualization, or containerization platforms.; Experience engaging with, and presenting to, technical stakeholders and executive leaders.; ; Preferred qualifications:; Experience with data centers consolidation, relocation, migration, or virtualization projects.; Experience building and maintaining customer relationships for building out Greenfield territories.; Experience with private, hybrid, or public cloud technology, migrating Linux, including virtualization (e.g., VMware).; Experience with security concepts such as encryption, identity management, access control, attack vectors, and pen testing.; Experience architecting and developing software or infrastructure for distributed systems.; Ability to communicate in Bahasa Indonesia fluently to support client relationship in this region.; About the job; When leading companies choose Google Cloud, it's a huge win for spreading the power of cloud computing globally. Once educational institutions, government agencies, and other businesses sign on to use Google Cloud products, you come in to facilitate making their work more productive, mobile, and collaborative. You listen and deliver what is most helpful for the customer. You assist fellow sales Googlers by problem-solving key technical issues for our customers. You liaise with the product marketing management and engineering teams to stay on top of industry trends and devise enhancements to Google Cloud products.; As a Customer Solutions Consultant, you will partner with technical Sales teams to differentiate Google Cloud to our customers. You will help prospective and existing customers and partners understand the power of Google Cloud, develop cloud solutions and architectures to solve their business challenges, engage in proofs of concepts, and troubleshoot any technical questions and roadblocks. You will use your presentation skills to engage with customers to understand their business and technical requirements, and present solutions on Google Cloud. You will have technical, communication and organizational skills. You will focus on a range of customer opportunities as a technical generalist, spanning infrastructure modernization, application modernization and more. You will have a passion for building new relationships, with experience in prospecting and building out greenfield territories.; Google Cloud accelerates every organization’s ability to digitally transform its business and industry. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology, and tools that help developers build more sustainably. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.; Responsibilities; Work with the team to identify and qualify business opportunities, understand customer technical objections, and develop the strategy to resolve technical blockers.; Share Google Cloud expertise to support the technical relationship with customers, including technology advocacy, supporting bid responses, product and solution briefings, proof-of-concept work, and partnering directly with product management to prioritize solutions impacting customer adoption to Google Cloud.; Work directly with Google Cloud products to demonstrate and prototype integrations in customer and partner environments.; Recommend integration strategies, enterprise architectures, platforms, and application infrastructure required to implement a complete solution on Google Cloud.; Lead prospecting and acquisition of new logos, creating and building customer relationships and establishing as an advisor on their technology and business decisions.",,Full time,indonesia
84710124,ICT Cloud Engineer,PT Ellipse Projects Indonesia,South Jakarta,2025-06-24 16:36:52,https://id.jobstreet.com/id/job/84710124,"Ellipse Projects, with over 10 years of experience, focuses on cutting-edge infrastructure projects tailored to regional needs. Ellipse Group upholds the highest international standards and is committed to social and environmental responsibility in collaboration with financial and industrial partners. We are looking for motivated and skilled candidate for the Position of ICT Cloud Engineer; Responsibilities of the Migration Engineer shall be as follows:;  JOB RESPONSIBILITIES; Design, deploy, securely Data Center migration from existing environment to new environment; Experience in data centers operation and maintenance; Experience in data and application migration solutions tailored to meet Client goals, ensuring compatibility with existing systems and compliance with Technology Security standards.; Ensure cloud environments adhere to best practices for security, data protection, and compliance, including managing access controls and risk assessments.; Work closely with all vendors or subcontractors; Maintain thorough documentation of cloud configurations, processes, and best practices for team reference and compliance purposes.; Provide guidance and support to Client manage service on cloud technologies, assist with troubleshooting, and contribute to knowledge-sharing initiatives.; Stay up to date with industry trends, new tools, and cloud technologies to propose improvements and innovations to the cloud strategy.; ; JOB SKILLS AND QUALIFICATIONS; Bachelor in information technology or equivalent degree; Experience on Data Center and or Application Migration in private cloud (Certified in VMware cloud foundation or VMware cloud director is a plus); Has knowledge in VMware NSX, SDDC Manager, Aria, vSphere replication, etc.; Background in IP based secure communications systems; High level of fluency in written and spoken English; Demonstrate a great intellectual curiosity with regard to all the technical solutions implemented in and outside our projects; Demonstrate autonomy, good interpersonal skills and natural authority; Management skills and a sense of teamwork; 7 to 10 years of previous experience with an industrial company specialized in Cloud, IT, cybersecurity. Knowledge in the design and implementation of cyber security controls within an ICT architecture, knowledge of security best practice, and CSIRT structures",,Kontrak/Temporer,indonesia
85036826,Lead Facilities Engineer - Data Center (Batam),PT Michael Page Internasional Indonesia,Batam,2025-06-19 16:36:52,https://id.jobstreet.com/id/job/85036826,"As Lead Facilities Engineer, you will be responsible to oversee the operation, maintenance, and improvement of critical infrastructure systems in our client data center located in Batam. This role is crucial in ensuring 24/7 uptime and operational reliability across electrical, mechanical, and HVAC systems.; Client Details; We are currently representing one of our Data Center client in Batam who is looking to expand their team; Description; Lead and coordinate all facilities engineering operations and maintenance activities across electrical (HV/LV), mechanical, and HVAC systems within the data center.; Supervise and coordinate with vendors, service providers, and internal teams to ensure proper execution of maintenance, repair, and upgrade works.; Ensure all preventive and corrective maintenance tasks are completed timely and in compliance with company SOPs and industry standards.; Monitor, analyze, and troubleshoot critical systems (e.g., UPS, CRAC/CRAH, generators, fire suppression, BMS) to prevent downtime.; Lead root cause analysis (RCA) and post-incident reviews to identify improvements in reliability and resilience.; Support capacity planning, equipment upgrades, retrofits, and new project commissioning.; Manage documentation, reporting, and logs related to equipment performance, maintenance, and incidents.; Ensure compliance with local regulations, safety standards, and environmental requirements.; Provide technical mentorship and guidance to junior engineers and technicians; Profile; Degree in Mechanical, Electrical, or related field; Minimum 5 years of relevant experience in mission-critical environments (data center, semiconductor, hospital, etc.), with experience in senior or supervisory role.; Strong knowledge of data center infrastructure (UPS, PDUs, chillers, CRACs, generators, STS, fire systems, etc.).; Experience with maintenance software (CMMS), BMS/SCADA systems, and reliability tools (FMEA, RCA).; Familiar with industry standards: Uptime Institute, ASHRAE, ISO, etc.; Ability to work under pressure in a 24/7 operational environment.; Fluent in English (both written and verbal); Willing to be placed in Batam; Job Offer; Opportunities to work with advanced technologies in a supportive environment.; A professional setting that values innovation and technical growth.; Access to continuous development programs and resources.; Potential for career progression within the technology & telecoms industry.; This is an excellent opportunity for experienced professionals to make a significant impact. Interested candidates are encouraged to apply.; To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Antonius Trianto on +62 21 2958 8899.",,Full time,indonesia
