Job_ID,Role,Company,Location,Publish_Time,URL,job_desc,salary,work_type,country
84622042,Data Engineer,PT Data Labs Analytics,Central Jakarta,2025-06-30 16:38:06,https://id.jobstreet.com/id/job/84622042,"Requirements:; Minimum 1 year of experience as a Data Engineer.; Proven experience with ETL tool setup and usage, especially Informatica; Talend is a plus.; Experience in building and maintaining data warehouses.; Solid understanding of ELT/ETL concepts, data integration, and data modeling.; Hands-on experience with cloud platforms like AWS, Google Cloud, Azure, Alibaba Cloud, etc.; Strong skills in SQL and relational databases.; Self-driven with good problem-solving skills and the ability to work both independently and in a team environment.; Willing to work in 24x7 rotating shifts including weekends and holidays.; Job desc:; Install, configure, and maintain ETL tools, primarily Informatica (preferred) or Talend.; Design and develop scalable ELT/ETL pipelines to support data integration and transformation.; Build and manage data warehouse infrastructure and architecture.; Monitor and optimize data pipeline performance and reliability.; Collaborate with data analysts, data scientists, and business teams to deliver efficient data solutions.; Document data architectures, pipelines, and processes.",,Full time,indonesia
84666715,"Senior Integration Engineer, Orchestration team",PT Solusi Transportasi Indonesia,Jakarta,2025-06-17 16:38:06,https://id.jobstreet.com/id/job/84666715,"Company Description; Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility.; Job Description; Get to Know the Team; The Orchestration team takes care of all automation and integration needs of GTS (Grabber Technology Solutions = Grab's Enterprise IT team) and beyond. Our work directly enhances Grabbers' productivity by delivering process and workflow automation. We are expanding our team and looking for individuals passionate about building and managing complex workflows and automated processes across multiple systems or and business practices.. If this resonates with you, come join us!; Get to Know the Role; We are looking for a Senior Automation Engineer for our Orchestration team. In this role, as a senior engineer, you will be responsible for leading the design, development, and delivery of high-quality Robotic Process Automation (RPA) and Intelligent Document Processing (IDP) solutions using UIPath. You will also be responsible for maintaining and enhancing existing production automations to support stakeholder needs and contribute to overall business success.; This will be an Onsite role based in Jakarta. You will be reporting to the Orchestration manager; The Critical Tasks You Will Perform; You will design, develop, test, and deploy RPA and IDP solutions using UIPath in line with project requirements and timelines.; You will collaborate with process owners and business analysts to gather automation requirements, and architect solutions.; You will create and maintain documentation including solution design documents (SDDs), technical specifications Operational Knowledge base articles and test plans.; You will ensure automation solutions adhere to internal control and compliance requirements (e.g., SOX).; You will continuously explore and recommend improvements and enhancements to workflow automation and Intelligent Document Processing; You will monitor the performance of deployed bots, resolve any issues, and optimize workflows as needed.; Qualifications; What Essential Skills You Will Need; 4–6 years of hands-on experience in RPA automation using UiPath with a minimum of 1–2 years focused on UiPath's IDP features.; Familiarity with ERP systems and financial applications such as Oracle/SAP and experience in automating finance processes including journal entries, invoice processing, bank reconciliations, financial reporting, and data validation.; Proficiency in software development practices and tools, including version control systems (e.g., Git), code review processes, agile development methodologies and practices.; Proficiency in incident management and ticketing systems (e.g., Freshservice, ServiceNow Jira) for tracking and resolving production incidents.; Knowledge of Cyber Security Standards (NIST, COBIT, ISO27001) and Identity and Access Management standards and best practices (ABAC, RBAC, OAuth, SAML).; Additional Information; Life at Grab; We care about your well-being at Grab, here are some of the global benefits we offer:; We have your back with Term Life Insurance and comprehensive Medical Insurance.; With GrabFlex, create a benefits package that suits your needs and aspirations.; Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leave; We have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.; Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours; What We Stand For At Grab; We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,Full time,indonesia
85033491,IT Data Engineer Specialist,PT Bussan Auto Finance (BAF),South Jakarta,2025-06-19 16:38:06,https://id.jobstreet.com/id/job/85033491,"Join our team as an IT Data Engineer Specialist and play a critical role in designing, optimizing, and maintaining our data transformation and warehousing processes. If you’re passionate about data, performance, and collaboration, this role is for you.; Key Responsibilities:; Design, develop, and maintain data transformation processes to cleanse, transform, and aggregate data within the data warehouse.; Optimize and streamline data workflows to ensure efficient processing and storage.; Collaborate with data analysts and business stakeholders to understand data requirements and implement the right data transformations.; Develop and maintain database schemas, tables, and views to support reporting and analytics needs.; Implement data governance policies to ensure data quality, security, and compliance.; Monitor and maintain system performance, troubleshoot issues, and optimize scalability and efficiency in the data warehouse and data pipelines.; Qualifications:; Minimum 3 years of experience in data engineering or a related field.; Strong understanding of data transformation and warehousing concepts and have skill about Python, Bash Linux, SQL Server, PostgresSQL, Docker, Apache Airflow; Familiarity with data governance and security best practices.; Excellent analytical and problem-solving skills.",,Full time,indonesia
85776532,Data Engineer Supervisor,PT. Cakra Radha Mustika,East Jakarta,2025-07-15 16:38:06,https://id.jobstreet.com/id/job/85776532,"Job Description; Establish data engineering frameworks, standards, and guidelines; Design, develop, and maintain efficient and scalable data pipelines; Optimize pipeline performance to reduce latency and improve efficiency; Build and manage scalable, secure, and reliable data storage systems; Provide technical guidance and support to engineering teams; Promote collaboration among teams involved in data initiatives; Ensure compliance with data privacy, security, retention, and disposal regulations; Qualification; Min 4 years of experience in data engineering; Advanced proficiency in SQL and experience with PostgreSQL, MSSQL, or BigQuery; Hands-on experience with ETL tools such as Pentaho, Apache Airflow, Prefect, or dbt; Proficient in Python programming; Experience with cloud platforms (GCP, AWS, Azure); Solid understanding of data warehousing and data modelling concepts; Excellent problem-solving skills and attention to detail; Proven experience in leading and managing a team.; Key Competencies:; SQL; ETL (Extract-Transform-Load); Database and Data Warehouse; Programming Languages (Python, Java, Scala); Cloud Technologies (GCP, AWS, Azure); Data Modelling; BI Tools (Tableau, Power BI)",Rp 10.000.000 – Rp 13.000.000 per month,Full time,indonesia
85779459,Data Warehouse Engineer,PT Bali Towerindo Sentra Tbk,Central Jakarta,2025-07-15 16:38:06,https://id.jobstreet.com/id/job/85779459,"Responsibilities :; Design, build, and maintain the company’s source of truth (data lake, data warehouse, and data mart), dashboarding/reporting platforms, and/or any other data products; Work closely with BI analysts and data scientists to implement a variety of descriptive and predictive analytic solutions; Work closely with the product and engineering team to ensure the data ecosystem quality and accountability; Requirements :; Candidate must possess at least bachelor degree in Computer Science or Information Technology; At least 1-2 years of experience as data engineer (have experience data science course online school); Proficient with a variety of data engineering ETL Tools (Pentaho, Talend, SSIS, etc); Good understanding of the basics of data pipeline, and experience in implementing data-lake/data-warehouse/data-mart, with most recent data tech-stacks; Firm grasp in SQL Queries.",,Full time,indonesia
85686745,"Expert, Cloudera & Dataiku (Data Engineer)",ASIA PULP AND PAPER,South Tangerang,2025-07-11 16:38:06,https://id.jobstreet.com/id/job/85686745,"We are looking for Data Engineer to be part of our IT Business Insight and Analytics Team.; Job Description:; Mining data from primary and secondary sources, then reorganizing said data in a format that can be used by next process such as data analytics, data science or any AI/ML processes; Manage day-to-day operation in collecting, storing, processing and analyzing huge sets of data including construct data storages and data-access tools (data lake approach); Monitor overal performance and stability of the system, warehouse cleansing and ensure track pipeline stability; Job Requirements:; Have at least 7-12 years of experience in data lake implementation; Experience on design & setup data lake architecture, topology, and infrastructure; Experience with ETL and ELT data pipeline hands-on & implementation; Proficient with data lake related skills, such as : Cloudera, Dataiku, Object Storage, Hadoop, Spark, Kafka, Airflow,Dremio, Python, R, Docker, Kubernetes, Iceberg/HUDI, etc; Good & have passion on data processing; Working location: Serpong",,Full time,indonesia
85364813,Data Engineer,PT IDStar Cipta Teknologi,Jakarta,2025-07-02 16:38:06,https://id.jobstreet.com/id/job/85364813,"Job Description; Core Banking Migration: Participating in the migration of core banking systems.; Reconciliation of Core Banking Migration Results: Ensuring the accuracy and consistency of data after core banking migrations.; ETL DWH Migration: Assisting with the migration of ETL (Extract, Transform, Load) processes for the Data Warehouse.; Regulator Report: Contributing to the generation of reports required by regulators.; Transaction Reconciliation: Performing reconciliation of transactions.; Code Analysis and Workflow Design: Being able to analyze problems and read code, as well as designing workflows using flowcharts.; ETL Tools and Database Understanding: Mastering ETL tools and demonstrating a strong understanding of databases.; Programming: Applying knowledge of one or more programming languages.; Job Qualifications; Education: Minimum D3 (Diploma Three), preferably S1 (Bachelor's degree), or equivalent from any major with experience in the IT field.; Work Experience: Minimum 1 - 5 years of experience in the relevant field.; General Knowledge: Understanding of general banking flow.; Ability to analyze problems and read code.; Ability to design workflows using flowcharts.; Technical Skills (Skillset): Databases and Data Management: Proficiency in SQL, Data Warehouse concepts, MySQL/Postgres/MS SQL, Oracle, DB2, and Big Data technologies.; ETL Tools: Mastery of ETL tools such as ODI, IBM DataStage, Talend, or Pentaho.; Programming Languages: Knowledge of one or more programming languages, with PHP specifically mentioned.; Other Technologies: Familiarity with SOA, ISO 8583, SOAP Web Service, and API.",,Kontrak/Temporer,indonesia
85436252,Data Engineer,Sibernetik Integra Data,South Jakarta,2025-07-03 16:38:06,https://id.jobstreet.com/id/job/85436252,"Responsibilities :; Create and maintain optimal data pipeline architecture; Assemble large, complex data sets that meet functional / non-functional business requirements.; Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.;  Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and On-prem/ Cloud technologies.; Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics; Qualifications :; 2-4 years of experience as a data engineer.; Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.; ETL tools knowledge is required.; Experience building and optimizing big data pipelines, architectures and data sets.; Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.;  Strong analytic skills related to working with unstructured datasets.; Build processes supporting data transformation, data structures, metadata, dependency and workload management.; A successful history of manipulating, processing and extracting value from large disconnected datasets.",,Kontrak/Temporer,indonesia
85563748,IT Data Engineer,PT ABC KOGEN DAIRY,South Jakarta,2025-07-08 16:38:06,https://id.jobstreet.com/id/job/85563748,"Job Description; 1. Designing, developing, and maintaining data pipelines for ETL processes and orchestration workflows.; 2. Creating and managing data visualization dashboards to support business decision-making.; 3. Performing data cleansing and validation to ensure data quality and reliability.; 4. Developing and maintaining simple web applications to facilitate data input processes.; 5. Collaborating closely with other IT teams to ensure integrated and complementary system solutions.; Job Qualifications; 1. Minimum Bachelor's degree in Computer Science, Information Systems, Data Engineering, or a related field.; 2. At least 2 years of experience in a similar role, preferably in data engineering or a related domain.; 3. Proficient in core Data Engineering technologies such as Apache Airflow, SQL, and Python.; 4. Strong understanding and hands-on experience with ETL processes and data orchestration.; 5. Excellent communication skills, with a proactive and collaborative work attitude.; 6. Willing to travel and work in different locations.; 7. Placement in Tebet, South Jakarta.",,Full time,indonesia
85063591,System Administrator [Enterprise Data Warehouse],PT Triputra Investindo Arya (Triputra Group),South Jakarta,2025-06-20 16:38:06,https://id.jobstreet.com/id/job/85063591,"Job Description:; - Develop and maintain enterprise-wide data warehouse architectures and solutions.; - Collaborate with stakeholders to gather business and data requirements.; - Design and implement ETL (Extract, Transform, Load) processes for data integration.; - Ensure data quality, data governance, and compliance with security standards.; - Optimize data storage, query performance, and reporting efficiency.; - Work closely with BI developers, data analysts, and business users to support data-driven decision-making.; - Monitor, troubleshoot, and tune data warehouse systems and processes.; - Document data models, metadata, and data mapping.; Job Requirement:; - Min. experienced 5 years as a system administrator handling Data Warehouse; - Proficient in and understands the use of SSIS as an ETL tool.; - Knowledgeable and experienced in using SQL.; - Proficient in Windows Server OS.; - Proficient in Linux OS.; - Has strong teamwork skills (Team Player).; - Able to communicate effectively.; - Proactive, creative, and highly initiative-driven in performing continuous improvement.; - Willing to be placed in Banking Industry",,Kontrak/Temporer,indonesia
