Job_ID,Role,Company,Location,Publish_Time,URL
85252349,Data Engineer (Officer),Dexa Group,South Tangerang,2025-06-30 06:53:18,https://id.jobstreet.com/id/job/85252349
84804038,Contract & Data Analyst,PT Mineral Alam Abadi (Mineral Alam Abadi Group).,West Jakarta,2025-06-25 06:53:18,https://id.jobstreet.com/id/job/84804038
85364813,Data Engineer,PT IDStar Cipta Teknologi,Jakarta,2025-07-02 06:53:18,https://id.jobstreet.com/id/job/85364813
85376004,Expression of Interest - Sr. Pipeline Engineer (Contract Based),PT Worley Sea Indonesia,South Jakarta,2025-07-02 09:53:18,https://id.jobstreet.com/id/job/85376004
85377149,Expression of Interest - Sr. Pipeline Designer (Contract Based),PT Worley Sea Indonesia,South Jakarta,2025-07-02 09:53:18,https://id.jobstreet.com/id/job/85377149
85033491,IT Data Engineer Specialist,PT Bussan Auto Finance (BAF),South Jakarta,2025-06-19 06:53:18,https://id.jobstreet.com/id/job/85033491
83021060,Data Analytics Operation,"PT. BFI FINANCE INDONESIA, Tbk",Tangerang District,2025-06-03 06:53:18,https://id.jobstreet.com/id/job/83021060
85381573,Data Engineer,PT AIA Financial,Jakarta,2025-07-02 06:53:18,https://id.jobstreet.com/id/job/85381573
85025945,Senior Data Engineer,PT BCI CENTRAL INDONESIA,South Jakarta,2025-06-19 06:53:18,https://id.jobstreet.com/id/job/85025945
85269477,DATA ENGINEER,ICS Compute,Kebayoran Lama,2025-07-01 06:53:18,https://id.jobstreet.com/id/job/85269477
84648945,C# Developer,PT Petrolink Services Indonesia,South Jakarta,2025-06-03 06:53:18,https://id.jobstreet.com/id/job/84648945
84950627,Data Engineer (ETL Developer),PT Lawencon Internasional,Jakarta,2025-06-17 06:53:18,https://id.jobstreet.com/id/job/84950627
84715077,Data Engineer,PT SWAPRO INTERNATIONAL,East Jakarta,2025-06-05 06:53:18,https://id.jobstreet.com/id/job/84715077
85124711,D365 Developer,PT. Meratus Line & Group,Surabaya,2025-06-24 06:53:18,https://id.jobstreet.com/id/job/85124711
84696656,Data Engineer,"PT. Metrodata Electronics, Tbk",West Jakarta,2025-06-05 06:53:18,https://id.jobstreet.com/id/job/84696656
85309426,IT: Data Analyst,PCS Group,Tangerang District,2025-07-02 06:53:18,https://id.jobstreet.com/id/job/85309426
85271989,Splunk Developer,"PT. Metrodata Electronics, Tbk",West Jakarta,2025-07-01 06:53:18,https://id.jobstreet.com/id/job/85271989
84821201,Product Marketing,PT. MULIA ARTHA SAFETINDO,North Jakarta,2025-06-11 06:53:18,https://id.jobstreet.com/id/job/84821201
85235370,Cloud Data Engineer,PT Cybertrend Intrabuana,Pasar Minggu,2025-06-28 06:53:18,https://id.jobstreet.com/id/job/85235370
85182117,Data Visulisation Intern,Hexagon Mining,Balikpapan,2025-06-26 06:53:18,https://id.jobstreet.com/id/job/85182117
84994260,SAP B1 Technical,PT Alvindo Catur Sentosa,Jakarta,2025-06-18 06:53:18,https://id.jobstreet.com/id/job/84994260
85189607,Project Specifier,PT Aplus Pacific,North Jakarta,2025-06-26 06:53:18,https://id.jobstreet.com/id/job/85189607
85194687,Devops Engineer,PT. Daninda Sukses Makmur,Kebayoran Lama,2025-06-26 06:53:18,https://id.jobstreet.com/id/job/85194687
85177221,IT Data Analyst Manager,Simbadda Group,North Jakarta,2025-06-25 06:53:18,https://id.jobstreet.com/id/job/85177221
85315540,"Analyst, Data Engineer",PT Bank DBS Indonesia,Indonesia,2025-06-25 06:53:18,https://id.jobstreet.com/id/job/85315540
84938781,Big Data Engineer,PT Data Labs Analytics,Central Jakarta,2025-06-16 06:53:18,https://id.jobstreet.com/id/job/84938781
85147318,Senior Data Engineer,Qoala,Jakarta,2025-06-25 06:53:18,https://id.jobstreet.com/id/job/85147318
85145062,Core Data & BI Specialist,PT AIA Financial,Jakarta,2025-06-25 06:53:18,https://id.jobstreet.com/id/job/85145062
84890456,Structure Piping Engineer,PT. Achivon Prestasi Abadi,Tangerang,2025-06-13 06:53:18,https://id.jobstreet.com/id/job/84890456
84889418,Piping / Fire Piping Engineering,PT. Achivon Prestasi Abadi,Tangerang,2025-06-13 06:53:18,https://id.jobstreet.com/id/job/84889418
