Job_ID,Role,Company,Location,Publish_Time,URL,job_desc,salary,work_type,country
85252349,Data Engineer (Officer),Dexa Group,South Tangerang,2025-06-30 16:17:37,https://id.jobstreet.com/id/job/85252349,"Job Description:; To analyze and validate data source readiness and integrity; To build and organize a data pipeline (ETL/ELT) procedure for usage in a data warehouse environment; Routine work of monitoring and troubleshooting data processing performance; To identify potential problems and create solutions for more robust and efficient data processing; To assess and implement new cloud technology and big data platforms; Requirements :; A Bachelor's Degree in Computer Science, Information Technology, or relevant disciplines from a top university; Minimum 1 year of working experience as a Data Engineer or ETL Developer; Strong analytical skills & high sense of logical thinking; Experience developing data warehouse schemas with OWB, ODI, or other enterprise ETL technologies; Have expertise and experience with a cloud solution, preferably a GCP Platform.; Willing to work onsite & fulltime in Bintaro, Tangerang Selatan",,Full time,indonesia
83584141,Data Engineer,"PT. BFI FINANCE INDONESIA, Tbk",Tangerang District,2025-06-17 16:17:37,https://id.jobstreet.com/id/job/83584141,"Job Description; Design and implement scalable data pipeline using modern data platform (Spark, Flink, Kafka, Airflow); Build and manage ETL/ELT processes to ingest data from various sources (databases, APIs, files, message queues); Develop and maintain data models and data warehouse / datalake architectures; Ensure high data quslity and implement data validation, observability and monitoring frameworks; Collaborate with other team such as data analyst, data scientist and business stakeholders to understand data requirements and deliver data solutions; Optimize performance of big data processing jobs and ensure cost efficiencient data infrastructure; Advocate for best practices in data engineering, including documentation, testing, version control and other with team; Minimum Qualifications; Bachelor degree from Computer Science or Informatic Engineering; Min. 3 years experience as Data Engineer or similar role; Strong proficiency in SQL and programming language (Python, Java or Scala); Hands on with distributed data processing framework (Apache Spark, Kafka, Flink); Solid understanding of data modelling, data warehouse and query performance optimization; Experience with cloud platform such as Alibaba Cloud, AWS, GCP or Azure; Familiarity with modern orchestration tools like Apache AirFlow or other; Experience with CI/CD and DevOps practices in data engineering",,Full time,indonesia
85812908,Data Engineer (Middle),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta,2025-07-16 16:17:37,https://id.jobstreet.com/id/job/85812908,"Job Description; Bertanggung jawab dalam membangun dan memelihara sistem data-platform, mulai dari tahapan proses pengumpulan data dari berbagai data-source (extract), data-cleansing (data quality) dan data transformasi (transform). Data-Platform sebagai tools memberikan insight kepada pengguna dalam melakukan pengambilan keputusan operasional maupun keputusan strategi.; Mengekstrak, mengubah, dan memuat (ETL) data dari berbagai sumber termasuk basis data, API, dan berkas log; Menerapkan pemeriksaan kualitas data dan sistem pemantauan untuk memastikan keakuratan dan konsistensi data; Mengembangkan dan memelihara model data dan data warehouse; Berkolaborasi dengan business-analyst untuk memahami kebutuhan data mereka dan menerjemahkannya menjadi technical-specification; Menganalisa dan melakukan perubahaan terhadap sistem data-platform untuk perbaikan system-error, pemeliharaan dan pengembangan; Menjaga kualitas sistem yang dihasilkan dengan mempertimbangkan user-friend, user-experience, speed performance dan system reliability; Melakukan test terhadap hasil pengembangan/pemeliharaan; Bertanggung jawab atas pengembangan dan pemeliharaan peranti lunak sesuai dengan objektif perusahaan dan kebutuhan pengguna; Qualification:; Berpengalaman min. 2 tahun bekerja sebagai ETL Developer mengembangkan memelihara dan mengelola RDBMS termasuk pembuatan script, store-procedure dan SQL Query; Membuat dan memelihara data pipeline architecture yang optimal untuk integrasi data menggunakan ETL tools seperti SSIS, Pentaho dan Talend; Build data ingestion workflow for data warehouse/data marts/operational data store7; Pengetahuan dan pengalaman terhadap data-warehouse, data-marts, operational-data-store dan master data management; Pengetahuan dan pengalaman dalam database-design dan membangun database; Pengetahuan dan pengalaman dalam pembuatan SQL script dan tuning SQL yang baik",,Kontrak/Temporer,indonesia
85315137,Fullstack Engineer (Data Platform),PT Global Tiket Network,Jakarta,2025-06-17 16:17:37,https://id.jobstreet.com/id/job/85315137,"We think you also hate when travel app is giving you a headache, right? A slight misinformation can ruin the trip.; That is exactly what we are tackling as t-fam! Making sure that our 50+ million users have the best experience in crafting their own adventure.; #LI-EP1; Your main duties in flying with us :; Build and extend our backend code based on SOLID Principle and Clean Code; Build APIs that serve our frontend apps – Benchmark and improve performance; Develop dashboard related frontend; Maintain and extend our test suite; Refactor and improve existing code to incorporate better patterns; Document and write about the work; Create unit test and implement self test to make sure the code is running well; Assist technical lead to review and follow up code that have been developed.; Mandatory belongings that you must prepare :; Bachelor degree or equivalent, preferably in Computer Science/Information Technology; Min. 3 years of working experience as Software Engineer or equivalent; Knows how to analyze log; Experience working with System Design; Experienced in using Golang (Mandatory), NextJs (or any javascript related); Experience working with RDBMS or NoSQL; Experience with Git Flow; Experience with CI/CD, TDD, Refactor/Rewrite system; Experience with Event-Driven Architecture such as Kafka or RabbitMQ; Experience with Kubernetes is a plus; Experience working with Redis and Memcached is a plus; Experience with Elastic Search is a plus; Experience with pair programming is a plus; Experience with Linux syntax, Docker is a plus; Good sense of prioritization and product knowledge/product ownership; Critical thinking, fast learner, and good communication skills; Well-motivated, responsible for the deadline, and can work under pressure; Willingness to work in a hybrid environment (3 days in-office, 2 days remote).",,Full time,indonesia
85843728,API Platform Engineer,PGI Data,Kebayoran Lama,2025-07-17 03:17:37,https://id.jobstreet.com/id/job/85843728,"Job Description; What you'll be doing; Platform Implementation; Deploy, configure, and maintain IBM API Connect components (Manager, Gateway, Developer Portal, Analytics); Register and configure Gateway Services, catalogs, and products; API Lifecycle; Define API Products, Plans, and Subscriptions; Implement and test API security policies (OAuth2, API key, mTLS); Manage API versioning, deprecation, and migration strategies; Security & Access Control; Implement role-based access (RBAC) for APIs and Dev Portal; Monitoring & Analytics; Enable and tune API Analytics for traffic, latency, errors, and usage patterns; Support monetization with accurate usage reporting; Integrate with logging and monitoring tools (e.g., ELK, Prometheus); Monetization Support; Collaborate with DevOps and developers to integrate Stripe for API billing; Automate app approval and plan assignment workflows; Support monetization microservices with management APIs; Documentation & Support; Maintain configuration, deployment, and policy documentation; Provide L3 support for API developers and integrators; Deliver training for consumers and internal teams; Minimum Qualifications; What we're looking for; 2-5 years experience in API Management platforms, with 2+ years in IBM API Connect; IBM certified solution developer - API Connect v10 (Gateway, Manager, Portal, Analytics); Experience with IBM DataPower Gateway configuration and debugging; Experience developing SNAP BI; Experience with Stripe billing integration or API monetization models; Knowledge of financial compliance or regulated environments; Prior experience in HA/multi-cluster environments (OpenShift/K8s a plus); Familiarity with API design principles, protocols, and best practices (e.g., REST APIs, OpenAPI/Swagger 3.0); Experience managing API gateway technologies, developer Portals, and OAuth Integrations; Strong understanding of API versioning, security, and authentication mechanisms; Ability to write clean, maintainable, and well-documented code; Experience with CI/CD tools (GitHub Actions, GitLab, Jenkins); Experience with Docker, Kubernetes and Helm; Experience with OAuth2, JWT, mTLS, LDAP, OIDC; Excellent problem-solving and critical thinking skills",,Kontrak/Temporer,indonesia
85749086,"Software Engineer, Backend - Business Platform",PT Solusi Transportasi Indonesia,Jakarta,2025-07-14 16:17:37,https://id.jobstreet.com/id/job/85749086,"Company Description; About Grab and Our Workplace; Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility.; Job Description; Get to Know the Team; The Business Platform team develops and optimizes the core platform for every business in Southeast Asia to connect, engagement and transact with Grab Consumer. The Core Experience of the Business Platform at Grab, involves a range of fundamental features that the product, platform or service will deliver to the Merchants. We adopt a microservice architecture on the backend and use several frontend techniques (e.g. IOS, ADR, Flutter, and Web) to serve our end-users (e.g. Merchants, Business Partners) across 8 countries. We generalize our microservices into platforms to improve the speed of the market of new products. We follow an adaptive system principle, in which systems keep improving upon different feedback signals without human intervention.; Get to Know the Role; As a Software Backend Engineer at Grab, you will design, develop, and maintain scalable backend systems that power our superapp. You will work with cross-functional teams to deliver high-quality solutions that impact millions of users across Southeast Asia. You will report to the Engineering Manager. You will be based on site in Jakarta office.; The Critical Tasks You Will Perform; Design, develop, and maintain robust, scalable, and secure backend services and APIs.; Collaborate with product managers, frontend engineers, and other stakeholders to deliver new features and improvements.; Write clean, maintainable, and efficient code following best practices.; Participate in code reviews, architecture discussions, and contribute to technical decision-making.; Optimize application performance, reliability, and scalability.; Mentor and guide junior engineers, fostering a culture of learning and growth.; Troubleshoot and resolve production issues, ensuring high availability of services.; Stay up-to-date with the latest industry trends and technologies.; Qualifications; What Essential Skills You Will Need; The Must-Haves:; Min. Bachelor's degree in Computer Science, Software Engineering, Information Technology, or related fields.; You are curious and stay informed about relevant technology trends and developments new things and embrace the latest technologies; You have solid Computer Science fundamentals in algorithms and data structures.; You have a sound understanding of system performance and scaling.; You can be a good coder in any programming language, but must be willing to work on Golang.; You are passionate about building products, features, and platforms to accelerate business growth.; 3+ years of experience building software systems for delivery business or order systems would be beneficial.; You have Heart, Hunger, Honour, and Humility.; The Nice-to-Haves:; Our core services tech stack consists of Golang with Redis, MySQL and DynamoDB data stores. They all run on the AWS cloud infrastructure with auto-scaling abilities.; We use GitLab for our code repository and we adhere to the basic Continuous Delivery tenets using a host of tools to support our release pipeline and code quality. These include GitLab CI, DataDog, Kibana, and Terraform; Additional Information; Life at Grab; We care about your well-being at Grab, here are some of the global benefits we offer:; We have your back with Term Life Insurance and comprehensive Medical Insurance.; With GrabFlex, create a benefits package that suits your needs and aspirations.; Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leave; We have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.; Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours; What We Stand For At Grab; We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,Full time,indonesia
85779459,Data Warehouse Engineer,PT Bali Towerindo Sentra Tbk,Central Jakarta,2025-07-15 16:17:37,https://id.jobstreet.com/id/job/85779459,"Responsibilities :; Design, build, and maintain the company’s source of truth (data lake, data warehouse, and data mart), dashboarding/reporting platforms, and/or any other data products; Work closely with BI analysts and data scientists to implement a variety of descriptive and predictive analytic solutions; Work closely with the product and engineering team to ensure the data ecosystem quality and accountability; Requirements :; Candidate must possess at least bachelor degree in Computer Science or Information Technology; At least 1-2 years of experience as data engineer (have experience data science course online school); Proficient with a variety of data engineering ETL Tools (Pentaho, Talend, SSIS, etc); Good understanding of the basics of data pipeline, and experience in implementing data-lake/data-warehouse/data-mart, with most recent data tech-stacks; Firm grasp in SQL Queries.",,Full time,indonesia
85776532,Data Engineer Supervisor,PT. Cakra Radha Mustika,East Jakarta,2025-07-15 16:17:37,https://id.jobstreet.com/id/job/85776532,"Job Description; Establish data engineering frameworks, standards, and guidelines; Design, develop, and maintain efficient and scalable data pipelines; Optimize pipeline performance to reduce latency and improve efficiency; Build and manage scalable, secure, and reliable data storage systems; Provide technical guidance and support to engineering teams; Promote collaboration among teams involved in data initiatives; Ensure compliance with data privacy, security, retention, and disposal regulations; Qualification; Min 4 years of experience in data engineering; Advanced proficiency in SQL and experience with PostgreSQL, MSSQL, or BigQuery; Hands-on experience with ETL tools such as Pentaho, Apache Airflow, Prefect, or dbt; Proficient in Python programming; Experience with cloud platforms (GCP, AWS, Azure); Solid understanding of data warehousing and data modelling concepts; Excellent problem-solving skills and attention to detail; Proven experience in leading and managing a team.; Key Competencies:; SQL; ETL (Extract-Transform-Load); Database and Data Warehouse; Programming Languages (Python, Java, Scala); Cloud Technologies (GCP, AWS, Azure); Data Modelling; BI Tools (Tableau, Power BI)",Rp 10.000.000 – Rp 13.000.000 per month,Full time,indonesia
85033491,IT Data Engineer Specialist,PT Bussan Auto Finance (BAF),South Jakarta,2025-06-19 16:17:37,https://id.jobstreet.com/id/job/85033491,"Join our team as an IT Data Engineer Specialist and play a critical role in designing, optimizing, and maintaining our data transformation and warehousing processes. If you’re passionate about data, performance, and collaboration, this role is for you.; Key Responsibilities:; Design, develop, and maintain data transformation processes to cleanse, transform, and aggregate data within the data warehouse.; Optimize and streamline data workflows to ensure efficient processing and storage.; Collaborate with data analysts and business stakeholders to understand data requirements and implement the right data transformations.; Develop and maintain database schemas, tables, and views to support reporting and analytics needs.; Implement data governance policies to ensure data quality, security, and compliance.; Monitor and maintain system performance, troubleshoot issues, and optimize scalability and efficiency in the data warehouse and data pipelines.; Qualifications:; Minimum 3 years of experience in data engineering or a related field.; Strong understanding of data transformation and warehousing concepts and have skill about Python, Bash Linux, SQL Server, PostgresSQL, Docker, Apache Airflow; Familiarity with data governance and security best practices.; Excellent analytical and problem-solving skills.",,Full time,indonesia
85309585,"Senior Data Scientist (Analytics), Business Platform",PT Solusi Transportasi Indonesia,Jakarta,2025-07-01 16:17:37,https://id.jobstreet.com/id/job/85309585,"Company Description; About Grab and Our Workplace; Grab is Southeast Asia's leading superapp. From getting your favourite meals delivered to helping you manage your finances and getting around town hassle-free, we've got your back with everything. In Grab, purpose gives us joy and habits build excellence, while harnessing the power of Technology and AI to deliver the mission of driving Southeast Asia forward by economically empowering everyone, with heart, hunger, honour, and humility.; Job Description; Get to Know the Team; We drive innovation and operational excellence by turning data into actionable strategies that elevate the end-to-end experience for consumers, driver-partners, and merchant-partners. From optimizing transaction flows and platform efficiency to enhancing reliability, we strive to make Grab the first choice, every time.; Get to Know the Role; You will report to the Product Analytics Manager, Business Platform and you'll have the unique opportunity to collaborate across disciplines (Product, Business, Engineering, Design, Data Science) to transform data into dynamic solutions. Your insights will directly contribute to developing groundbreaking products and initiatives, setting new benchmarks for excellence. This isn't just any role; it's a chance to make a tangible impact on millions of lives every day.; The Critical Tasks You Will Perform; You will understand our requirements and outcomes to ensure data-driven decision-making.; You will conduct tailored analyses for specific products and operations, define critical business metrics, track them rigorously, and recommend continuous improvements.; You will frame business scenarios and propose features that impact critical business processes and decisions.; You will transform requirements into concise insights through reports, presentations, and dashboards, and consolidate data from multiple sources to create comprehensive views for decision-making.; You will develop data pipelines and custom data science models to solve identified problems.; You will launch A/B tests, analyze the results, and provide recommendations based on your findings.; Qualifications; What Essential Skills You Will Need; You have at least 3-4 years of experience in data-related or quantitative fields such as Analytics, Science, Statistics, or Mathematics.; You are fluent with SQL, Python, R or other scripting/programming languages.; You are experienced in handling large datasets and maintaining complex Extract, Transform and Load (ETL) processes.; You have solid statistical knowledge and hands-on experience running and analysing controlled experiments.; You are proficient in creating dashboards using Tableau, PowerBI or other visualisation tools.; Additional Information; Life at Grab; We care about your well-being at Grab, here are some of the global benefits we offer:; We have your back with Term Life Insurance and comprehensive Medical Insurance.; With GrabFlex, create a benefits package that suits your needs and aspirations.; Celebrate moments that matter in life with loved ones through Parental and Birthday leave, and give back to your communities through Love-all-Serve-all (LASA) volunteering leave; We have a confidential Grabber Assistance Programme to guide and uplift you and your loved ones through life's challenges.; Balancing personal commitments and life's demands are made easier with our FlexWork arrangements such as differentiated hours; What We Stand For At Grab; We are committed to building an inclusive and equitable workplace that provides equal opportunity for Grabbers to grow and perform at their best. We consider all candidates fairly and equally regardless of nationality, ethnicity, race, religion, age, gender, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique.",,Full time,indonesia
