Job_ID,Role,Company,Location,Publish_Time,URL
84692696,Data Engineer (ETL Developer),PT Informasi Teknologi Indonesia,South Jakarta,2025-06-04 14:53:27,https://id.jobstreet.com/id/job/84692696
84405349,ETL Developer,PT Adecco Personnel Indonesia,South Jakarta,2025-05-22 14:53:27,https://id.jobstreet.com/id/job/84405349
84715077,Data Engineer,PT SWAPRO INTERNATIONAL,East Jakarta,2025-06-05 04:53:27,https://id.jobstreet.com/id/job/84715077
84662814,Data Engineer,PT Bumi Amartha Teknologi Mandiri,South Jakarta,2025-06-03 14:53:27,https://id.jobstreet.com/id/job/84662814
84216265,Data Engineer (ETL Developer),PT Lawencon Internasional,Jakarta,2025-05-14 14:53:27,https://id.jobstreet.com/id/job/84216265
84694168,Application Consultant,PT PROPHIX INDO SOLUSI,West Jakarta,2025-06-04 14:53:27,https://id.jobstreet.com/id/job/84694168
84275159,Data Engineer,PT Indocyber Global Teknologi,Jakarta,2025-05-16 14:53:27,https://id.jobstreet.com/id/job/84275159
84266811,Data Engineer Supervisor,PT. Cakra Radha Mustika,East Jakarta,2025-05-16 14:53:27,https://id.jobstreet.com/id/job/84266811
84112501,Senior Data Engineer,PT. Bobobox Mitra Indonesia,Bandung,2025-05-09 14:53:27,https://id.jobstreet.com/id/job/84112501
84650065,Database Administrator,PT Asuransi Jiwa BCA,Central Jakarta,2025-06-03 14:53:27,https://id.jobstreet.com/id/job/84650065
84064302,Data Engineer,"PT Tower Bersama Infrastructure, Tbk",Jakarta,2025-05-07 14:53:27,https://id.jobstreet.com/id/job/84064302
84512076,Lead Data Engineer,PT Solusi Pembayaran Elektronik,Cipondoh,2025-05-27 14:53:27,https://id.jobstreet.com/id/job/84512076
84382912,Data Engineer,PT IDStar Cipta Teknologi,Jakarta,2025-05-21 14:53:27,https://id.jobstreet.com/id/job/84382912
79647458,Application Developer Jr.,"PT. Metrodata Electronics, Tbk",Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/79647458
84217074,IBM Datastage Engineer,PT Sinergi Wahana Gemilang,Jakarta,2025-05-14 14:53:27,https://id.jobstreet.com/id/job/84217074
84580834,ETL Developer (SSIS),PT Platinumetrix Global Inovasi,Jakarta,2025-05-30 14:53:27,https://id.jobstreet.com/id/job/84580834
84254883,Data Analyst Staff,Agung Sedayu Group,North Jakarta,2025-05-15 14:53:27,https://id.jobstreet.com/id/job/84254883
84272742,Data Maintenance & Dashboard Specialist,PT Softex Indonesia,Karawang,2025-05-16 14:53:27,https://id.jobstreet.com/id/job/84272742
84508053,Business Intelligence - Data Operations,PT Bank Seabank Indonesia,Jakarta,2025-05-27 14:53:27,https://id.jobstreet.com/id/job/84508053
84696656,Data Engineer,"PT. Metrodata Electronics, Tbk",West Jakarta,2025-06-04 14:53:27,https://id.jobstreet.com/id/job/84696656
83021060,Data Analytics Operation,"PT. BFI FINANCE INDONESIA, Tbk",Tangerang District,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83021060
84621972,L1 ETL Operation Engineer,PT Data Labs Analytics,Central Jakarta,2025-06-02 14:53:27,https://id.jobstreet.com/id/job/84621972
84251690,Collection Data Management Support,PT CIMB Niaga Tbk,South Tangerang,2025-05-15 14:53:27,https://id.jobstreet.com/id/job/84251690
84622042,Data Engineer,PT Data Labs Analytics,Central Jakarta,2025-06-02 14:53:27,https://id.jobstreet.com/id/job/84622042
84659722,Data Engineer (Banking Industry),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta,2025-06-03 14:53:27,https://id.jobstreet.com/id/job/84659722
84112783,Specialist Data Management (Forestry),ASIA PULP AND PAPER,Serpong,2025-05-09 14:53:27,https://id.jobstreet.com/id/job/84112783
84251361,IT DATABASE ADMINISTRATOR (JS - IT DBA),OTO Group,Jakarta,2025-05-15 14:53:27,https://id.jobstreet.com/id/job/84251361
84622629,Oracle Database (DBA),PT Adi Data Informatika,Jakarta,2025-06-02 14:53:27,https://id.jobstreet.com/id/job/84622629
84239189,Data Modeller,PT Indocyber Global Teknologi,Jakarta,2025-05-14 14:53:27,https://id.jobstreet.com/id/job/84239189
84354259,Business Intelligence Developer,Gefami Services Indonesia,Jakarta,2025-05-20 14:53:27,https://id.jobstreet.com/id/job/84354259
84111944,IT MIS & Datawarehouse Specialist,PT JACCS Mitra Pinasthika Mustika Finance Indonesia,Jakarta,2025-05-09 14:53:27,https://id.jobstreet.com/id/job/84111944
84469675,Data Engineer,PT. Berca Hardayaperkasa,South Jakarta,2025-05-26 14:53:27,https://id.jobstreet.com/id/job/84469675
84623222,Data Analyst (Mandarin Speaker),DC Group Capital Indonesia,South Jakarta,2025-06-02 14:53:27,https://id.jobstreet.com/id/job/84623222
84326430,Blazor & SQL Server Developer,PT Umara Nikmat Boga,South Tangerang,2025-05-19 14:53:27,https://id.jobstreet.com/id/job/84326430
84414934,IT Data Internship,PT. Kalbe Farma Tbk. (International Division),East Jakarta,2025-05-23 14:53:27,https://id.jobstreet.com/id/job/84414934
83651569,Data Engineer,PT Indocyber Global Teknologi,Kebayoran Lama,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83651569
83584141,Data Engineer,"PT. BFI FINANCE INDONESIA, Tbk",Tangerang District,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83584141
84250250,Senior Database Administrator,PT Triputra Investindo Arya (Triputra Group),Jakarta,2025-05-15 14:53:27,https://id.jobstreet.com/id/job/84250250
84282475,Oracle Functional,PT. Mora Telematika Indonesia TBK,Central Jakarta,2025-05-16 14:53:27,https://id.jobstreet.com/id/job/84282475
84070186,Data Engineer,PT Graha Karya Informasi,Jakarta,2025-05-07 14:53:27,https://id.jobstreet.com/id/job/84070186
84602440,Lead Data Engineer,PT Solusi Transportasi Indonesia,Jakarta,2025-05-29 14:53:27,https://id.jobstreet.com/id/job/84602440
84397401,Senior DBA Engineer,PT Home Credit Indonesia,South Jakarta,2025-05-22 14:53:27,https://id.jobstreet.com/id/job/84397401
84195058,Data Engineer,PT Prodia Widyahusada Tbk,Kemayoran,2025-05-13 14:53:27,https://id.jobstreet.com/id/job/84195058
84364240,Technical Consultant (Oracle),"PT. Metrodata Electronics, Tbk",West Jakarta,2025-05-21 14:53:27,https://id.jobstreet.com/id/job/84364240
84603214,Business Intelligence Developer,PT Bumi Amartha Teknologi Mandiri,Kemayoran,2025-05-30 14:53:27,https://id.jobstreet.com/id/job/84603214
84186696,Oracle Functional Consultant,"PT. Metrodata Electronics, Tbk",West Jakarta,2025-05-13 14:53:27,https://id.jobstreet.com/id/job/84186696
84243647,DevOps (Oracle) Engineer,PT Avows Technologies,South Jakarta,2025-05-15 14:53:27,https://id.jobstreet.com/id/job/84243647
84512748,Data Engineer,PT Avows Technologies,South Jakarta,2025-05-27 14:53:27,https://id.jobstreet.com/id/job/84512748
84351414,DATA ENGINEER – SYSTEM & DATA INTEGRATION,PT Kattegat Nexus Nusantara,Jakarta,2025-05-20 14:53:27,https://id.jobstreet.com/id/job/84351414
84370079,DATA ANALYST/ BI ENGINEER,MINERGO SYSTEMS,Balikpapan,2025-05-21 14:53:27,https://id.jobstreet.com/id/job/84370079
84121999,Talend & Big Data Platform Engineer,PT. Amalura Multi Dimensi,South Jakarta,2025-05-09 14:53:27,https://id.jobstreet.com/id/job/84121999
83179484,Data Engineer (Technology Consultant),EY,Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83179484
84199334,Sr System Administrator (EDW),PT Tiga Daya Digital Indonesia,Jakarta,2025-05-13 14:53:27,https://id.jobstreet.com/id/job/84199334
84386841,Data Engineer,PT Bumi Amartha Teknologi Mandiri,Kebayoran Lama,2025-05-21 14:53:27,https://id.jobstreet.com/id/job/84386841
84214666,System Administrator [Enterprise Data Warehouse],PT Tiga Daya Digital Indonesia (Eksad Technology),Kebayoran Lama,2025-05-14 14:53:27,https://id.jobstreet.com/id/job/84214666
84376345,Data Engineering,,South Jakarta,2025-05-21 14:53:27,https://id.jobstreet.com/id/job/84376345
84418932,Senior Business Intelligence,PT Mid Solusi Nusantara (MEKARI),Indonesia,2025-05-22 14:53:27,https://id.jobstreet.com/id/job/84418932
83186187,Data Warehouse Engineer,Qoala,Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83186187
81625510,Data Engineer,Ctlyst,Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/81625510
84676545,Quality Assurance,PT Graha Karya Informasi,Central Jakarta,2025-06-04 14:53:27,https://id.jobstreet.com/id/job/84676545
84006145,Data Engineer,TADA,Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/84006145
84141271,Data Engineer (Talend),BINAR,Kebayoran Lama,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/84141271
83651526,Data Engineer,Floq,Kebayoran Lama,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83651526
84725362,Ab Initio - L2 Engineer,Proxima Consulting Indonesia,Jakarta,2025-06-05 09:53:27,https://id.jobstreet.com/id/job/84725362
84356031,IT Assistant,PT Mutualplus Global Resources,Kemayoran,2025-05-19 14:53:27,https://id.jobstreet.com/id/job/84356031
80249699,Data Engineer,PT Samsung Electronics Indonesia,Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/80249699
83186200,Senior Data Warehouse Engineer,Qoala,Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83186200
84671820,Database Analyst,PT Tiga Daya Digital Indonesia,Jakarta,2025-06-03 14:53:27,https://id.jobstreet.com/id/job/84671820
84704031,Oracle Developer,Gefami Services Indonesia,Jakarta,2025-06-04 14:53:27,https://id.jobstreet.com/id/job/84704031
83676195,Data Engineer (Junior),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83676195
84458699,Data Engineer,PT. IDX CONSULTING,Jakarta,2025-05-25 14:53:27,https://id.jobstreet.com/id/job/84458699
84317701,Data Migration Specialist,Technosoft Group,West Jakarta,2025-05-19 14:53:27,https://id.jobstreet.com/id/job/84317701
84446145,Data Analyst Staff - Jakarta,PT Medquest Jaya Global,Kemayoran,2025-05-21 14:53:27,https://id.jobstreet.com/id/job/84446145
83584079,Data Analyst,Isixi Private Limited,Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83584079
83387010,Database Engineer,CTI Group,Kebayoran Lama,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83387010
84603228,Oracle Database Administrator,PT IONPay Networks (NICEPAY),Kebayoran Lama,2025-05-30 14:53:27,https://id.jobstreet.com/id/job/84603228
84066312,Data Engineering,KYZN For Life,South Jakarta,2025-05-07 14:53:27,https://id.jobstreet.com/id/job/84066312
84388682,Finance Operations Analyst,Kitabisa,Kebayoran Lama,2025-05-21 14:53:27,https://id.jobstreet.com/id/job/84388682
84410588,Database Engineer,PT Sisindokom Lintasbuana,Central Jakarta,2025-05-22 14:53:27,https://id.jobstreet.com/id/job/84410588
82974109,Data & Analytics Engineer,Vida,Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/82974109
79663090,Data Analyst Staff - Business Intelligence (Logistics),byOrange,Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/79663090
83584094,Oracle Database Administrator,PT NTT Data Indonesia,Kemayoran,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83584094
84142780,Senior Data Engineer - Jakarta,SawitPRO,Kemayoran,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/84142780
84056007,Oracle Engineer,PT Artha Mulia Trijaya,Jakarta,2025-05-07 14:53:27,https://id.jobstreet.com/id/job/84056007
83179117,Data Engineer Consultant (Junior & Senior) 1,EY,Jakarta,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83179117
84410393,SQL Server Query Tuning Specialist,PT Sisindokom Lintasbuana,Pekanbaru City,2025-05-22 14:53:27,https://id.jobstreet.com/id/job/84410393
83383624,Spv. BI System,Indofood Group,Kebayoran Lama,2025-05-06 14:53:27,https://id.jobstreet.com/id/job/83383624
84070110,Business Intelligence Analyst,Halodoc,Kebayoran Lama,2025-05-07 14:53:27,https://id.jobstreet.com/id/job/84070110
