Job_ID,Role,Company,Location,Publish_Time,URL
84031875,Data Analyst Engineer (Yishun),Murata Electronics Singapore (Pte.) Ltd.,Yishun,2025-05-06 21:47:41,https://id.jobstreet.com/id/job/84031875
84665407,"Data Engineer (Capital Markets, ETL, Data Modelling, Regulatory Reporting",EXASOFT CONSULTING PTE. LTD.,Singapore,2025-06-03 12:47:41,https://id.jobstreet.com/id/job/84665407
84514499,"Software Engineer (Oracle Integration Cloud, Oracle Fusion, Data Migration",NEPTUNEZ SINGAPORE PTE. LTD.,Singapore,2025-05-27 21:47:41,https://id.jobstreet.com/id/job/84514499
84335698,Data Engineer,Michael Page International Pte Ltd,Central Region,2025-05-20 21:47:41,https://id.jobstreet.com/id/job/84335698
84515489,Data Engineer,PEPPER INTERNET TECHNOLOGY PTE. LTD.,Central Region,2025-05-27 21:47:41,https://id.jobstreet.com/id/job/84515489
84497750,Data Engineer (Informatica or Talend) | 3-Year Contract,BGC Group Pte Ltd,Singapore River,2025-05-27 21:47:41,https://id.jobstreet.com/id/job/84497750
75168122,Senior/ Data Engineer - DSC/EZ,ST Engineering Mission Software & Services Pte Ltd,North-East Region,2025-05-19 21:47:41,https://id.jobstreet.com/id/job/75168122
84589092,CDP Data Engineer,Hays Specialist Recruitment Pte Ltd,Central Region,2025-05-30 21:47:41,https://id.jobstreet.com/id/job/84589092
84581779,Data Analyst,Ng Teng Fong General Hospital,Jurong East,2025-05-30 21:47:41,https://id.jobstreet.com/id/job/84581779
84360289,Data engineer - Azure,Flintex Consulting Pte Ltd,City Hall,2025-05-21 21:47:41,https://id.jobstreet.com/id/job/84360289
84239357,Associate Data Engineer (1-2 Years Contract),SPD Scientific Pte Ltd,Pasir Panjang,2025-05-15 21:47:41,https://id.jobstreet.com/id/job/84239357
84621798,Data Engineer (Finance) | $ 8500 | Singaporean Only !,APBA TG Human Resource Pte Ltd,Central Region,2025-06-02 21:47:41,https://id.jobstreet.com/id/job/84621798
84184725,"Analyst, Data Apps Mgt (Talend)",NCS Pte. Ltd.,Ang Mo Kio,2025-05-13 21:47:41,https://id.jobstreet.com/id/job/84184725
84181061,Data Engineer,SMRT Corporation Ltd,Bishan,2025-05-13 21:47:41,https://id.jobstreet.com/id/job/84181061
