Job_ID,Role,Company,Location,Publish_Time,URL
84413086,Data Engineer (DataOps/Data Management),Adecco Personnel Pte Ltd.,Central Region,2025-05-22 16:54:29,https://id.jobstreet.com/id/job/84413086
84185059,Data Engineer,Keppel Management Ltd,Central Region,2025-05-13 16:54:29,https://id.jobstreet.com/id/job/84185059
84707702,Senior Data Engineer (2 year contract),StarHub Ltd,Singapore,2025-06-04 16:54:29,https://id.jobstreet.com/id/job/84707702
84724781,Data Engineer | $6k - $7.5k | 24 Months' Contract,BGC Group Pte Ltd,Singapore River,2025-06-05 09:54:29,https://id.jobstreet.com/id/job/84724781
84732033,Senior Database Engineer,OCBC (Singapore),Singapore,2025-06-05 10:54:29,https://id.jobstreet.com/id/job/84732033
84428868,Data Engineer - ETL (Engineering & Ops),Synapxe,One North,2025-05-23 16:54:29,https://id.jobstreet.com/id/job/84428868
84564154,Cloudera / Data Engineer,NCS Pte Ltd,Ang Mo Kio Town Centre,2025-05-29 16:54:29,https://id.jobstreet.com/id/job/84564154
84089769,Lead Data Engineer,Achieve Career Consultant Pte Ltd,Central Region,2025-05-08 16:54:29,https://id.jobstreet.com/id/job/84089769
84438151,Senior / Staff Specialist - Data Scientist,Infineon Technologies,Kallang,2025-05-23 16:54:29,https://id.jobstreet.com/id/job/84438151
84413216,Big Data Support Engineer (Junior),NTT DATA SERVICES SINGAPORE PTE. LTD.,Central Region,2025-05-22 16:54:29,https://id.jobstreet.com/id/job/84413216
84185182,Data Architect,Keppel Management Ltd,Central Region,2025-05-13 16:54:29,https://id.jobstreet.com/id/job/84185182
84703451,Data Engineer,HORIZON COMPUTER MANAGEMENT PTE. LTD.,Singapore,2025-06-04 16:54:29,https://id.jobstreet.com/id/job/84703451
84185116,Senior Data Engineer,Keppel Management Ltd,Central Region,2025-05-13 16:54:29,https://id.jobstreet.com/id/job/84185116
84731946,"AVP, Cloud Middleware Support Engineer",OCBC (Singapore),Singapore,2025-06-05 10:54:29,https://id.jobstreet.com/id/job/84731946
84589092,CDP Data Engineer,Hays Specialist Recruitment Pte Ltd,Central Region,2025-05-30 16:54:29,https://id.jobstreet.com/id/job/84589092
84413079,Big Data Support Engineer (Intermediate),NTT DATA SERVICES SINGAPORE PTE. LTD.,Central Region,2025-05-22 16:54:29,https://id.jobstreet.com/id/job/84413079
84703997,Data Engineer,KNOWLEDGESG GLOBAL PTE. LTD.,Singapore,2025-06-04 16:54:29,https://id.jobstreet.com/id/job/84703997
84691370,Infrastructure Engineer (Banking/ East/ 12 Months Contract),PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),East Region,2025-06-04 16:54:29,https://id.jobstreet.com/id/job/84691370
84019756,Data Engineer Lead,Mister Mobile Trading Pte Ltd,East Region,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/84019756
84239357,Associate Data Engineer (1-2 Years Contract),SPD Scientific Pte Ltd,Pasir Panjang,2025-05-15 16:54:29,https://id.jobstreet.com/id/job/84239357
84366574,"Contract Data Engineer (Healthcare) at Buona Vista, up to $6500",Success Human Resource Centre Pte Ltd,One North,2025-05-21 16:54:29,https://id.jobstreet.com/id/job/84366574
84497750,Data Engineer (Informatica or Talend) | 3-Year Contract,BGC Group Pte Ltd,Singapore River,2025-05-27 16:54:29,https://id.jobstreet.com/id/job/84497750
84360289,Data engineer - Azure,Flintex Consulting Pte Ltd,City Hall,2025-05-21 16:54:29,https://id.jobstreet.com/id/job/84360289
84340310,Senior Database Administrator,Phillip Nova Pte Ltd,Central Region,2025-05-20 16:54:29,https://id.jobstreet.com/id/job/84340310
84363586,Data Engineer,Assurity Trusted Solutions Pte Ltd,Singapore River,2025-05-21 16:54:29,https://id.jobstreet.com/id/job/84363586
84093251,IT Compliance /Operation Analyst,Morgan McKinley,One North,2025-05-08 16:54:29,https://id.jobstreet.com/id/job/84093251
84446890,Data Engineer - QuantumBlack,"QuantumBlack, AI by McKinsey",Singapore,2025-05-23 16:54:29,https://id.jobstreet.com/id/job/84446890
84335698,Data Engineer,Michael Page International Pte Ltd,Central Region,2025-05-20 16:54:29,https://id.jobstreet.com/id/job/84335698
84233154,Data Engineer,PSA Corporation Limited,Pasir Panjang,2025-05-15 16:54:29,https://id.jobstreet.com/id/job/84233154
84181061,Data Engineer,SMRT Corporation Ltd,Bishan,2025-05-13 16:54:29,https://id.jobstreet.com/id/job/84181061
84605949,Data Engineer,EXCELTECH COMPUTERS PTE. LTD.,Singapore,2025-05-30 16:54:29,https://id.jobstreet.com/id/job/84605949
84515489,Data Engineer,PEPPER INTERNET TECHNOLOGY PTE. LTD.,Central Region,2025-05-27 16:54:29,https://id.jobstreet.com/id/job/84515489
84486566,Data Engineer,Evo Outsourcing Solutions,Singapore,2025-05-26 16:54:29,https://id.jobstreet.com/id/job/84486566
84641389,Data engineer,JEET ANALYTICS PTE. LTD.,Central Region,2025-06-02 16:54:29,https://id.jobstreet.com/id/job/84641389
84393643,Data Engineer (DSC/CY/GI),ST Engineering Geo-Insights Pte Ltd,Ang Mo Kio,2025-05-22 16:54:29,https://id.jobstreet.com/id/job/84393643
84574188,Cloudera / Data Engineer,NCS Hong Kong and Singapore,Ang Mo Kio,2025-05-30 16:54:29,https://id.jobstreet.com/id/job/84574188
84484285,"Data Engineer (Azure Data Factory, SQL)",QUESSCORP SOLUTIONS PTE. LTD.,Singapore,2025-05-26 16:54:29,https://id.jobstreet.com/id/job/84484285
84191963,Data Engineer,Menrva,Marina South,2025-05-13 16:54:29,https://id.jobstreet.com/id/job/84191963
84572186,Senior/ Data Engineer,BW LPG Holding Pte Ltd,Queenstown,2025-05-29 16:54:29,https://id.jobstreet.com/id/job/84572186
84541452,"Principal Engineer, Computational Engineering, Office of DGCMIO (Research)",Singapore Health Services Pte Ltd (SingHealth HQ),Outram,2025-05-28 16:54:29,https://id.jobstreet.com/id/job/84541452
84313478,Senior Data Engineer (Team Lead),Innergy Consulting Pte. Ltd.,Central Region,2025-05-19 16:54:29,https://id.jobstreet.com/id/job/84313478
84192982,Data Engineer,Paradex,Singapore,2025-05-13 16:54:29,https://id.jobstreet.com/id/job/84192982
84070177,Senior Data Platform Architect (GCP Expert),Klook (客路旅行),Singapore,2025-05-07 16:54:29,https://id.jobstreet.com/id/job/84070177
84544407,Data Engineer,UARROW PTE. LTD.,Changi,2025-05-28 16:54:29,https://id.jobstreet.com/id/job/84544407
84564378,Database Engineer (DBA) (Contract/3x HC),PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),East Region,2025-05-29 16:54:29,https://id.jobstreet.com/id/job/84564378
84584470,"Data Engineering – Real-time Market Data, Site Reliability Engineer, Associate",Goldman Sachs,Singapore,2025-05-30 16:54:29,https://id.jobstreet.com/id/job/84584470
84501821,Data Architect,National University of Singapore,National University Of Singapore,2025-05-27 16:54:29,https://id.jobstreet.com/id/job/84501821
84572426,Data Engineer,AVN DIGITAL PTE. LTD.,Ang Mo Kio,2025-05-29 16:54:29,https://id.jobstreet.com/id/job/84572426
84602752,Privacy and Security Data Operations Specialist - TikTok PDPO (Singapore),TikTok Pte. Ltd.,Singapore,2025-05-30 16:54:29,https://id.jobstreet.com/id/job/84602752
84133654,Lead / Senior Data Engineer (Apache Spark / Flink / High-volume Data),TRUST RECRUIT PTE. LTD.,Downtown Core,2025-05-10 16:54:29,https://id.jobstreet.com/id/job/84133654
84515684,Data Engineer,RISKDATA CONSULTING PTE. LTD.,Central Region,2025-05-27 16:54:29,https://id.jobstreet.com/id/job/84515684
84271358,Assistant Lead Data Analyst (Ref 26082),Jobline Resources Pte Ltd,West Region,2025-05-16 16:54:29,https://id.jobstreet.com/id/job/84271358
84447728,Database Engineer,IN COMMODITIES SG PTE. LTD.,Central Region,2025-05-23 16:54:29,https://id.jobstreet.com/id/job/84447728
84572649,Senior Data Engineer,Cadenza Solutions,Singapore,2025-05-29 16:54:29,https://id.jobstreet.com/id/job/84572649
84092732,Lead Data Engineer,Ollion,Singapore,2025-05-08 16:54:29,https://id.jobstreet.com/id/job/84092732
84447416,Azure Data Engineer,JM Information Systems,Central Region,2025-05-23 16:54:29,https://id.jobstreet.com/id/job/84447416
83545730,Field Data Engineer (APAC),Ascend Group,Singapore,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/83545730
83667963,Data Architect - DSC/MC,ST Engineering Mission Software & Services Pte Ltd,Ang Mo Kio,2025-05-19 16:54:29,https://id.jobstreet.com/id/job/83667963
84546185,Engineer - OCBC,OCBC (Singapore),Singapore,2025-05-28 16:54:29,https://id.jobstreet.com/id/job/84546185
84202056,Storage Engineer (Contract/Shift/East),PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),East Region,2025-05-14 16:54:29,https://id.jobstreet.com/id/job/84202056
84217424,Oracle Cloud ERP Specialist,Adecco Personnel Pte Ltd.,Central Region,2025-05-14 16:54:29,https://id.jobstreet.com/id/job/84217424
84485662,"Data Engineer, Growth",TikTok Pte. Ltd.,Central Region,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/84485662
84267923,Senior Data Engineer,Terrascope,Singapore,2025-05-15 16:54:29,https://id.jobstreet.com/id/job/84267923
84098765,Lead Data Engineer,CAPGEMINI SINGAPORE PTE. LTD.,Singapore,2025-05-08 16:54:29,https://id.jobstreet.com/id/job/84098765
84573158,"Data Engineering – Real-time Market Data Engineer, Associate, Singapore",Goldman Sachs,Central Region,2025-05-29 16:54:29,https://id.jobstreet.com/id/job/84573158
84285962,System Engineer,NCS Hong Kong and Singapore,Ang Mo Kio,2025-05-16 16:54:29,https://id.jobstreet.com/id/job/84285962
84387712,Senior Data Platform Engineer,MB ENERGY (SGP) PTE. LTD.,Central Region,2025-05-21 16:54:29,https://id.jobstreet.com/id/job/84387712
84124393,Data Engineer - Global E-Commerce (Governance Service),TikTok Pte. Ltd.,Singapore,2025-05-09 16:54:29,https://id.jobstreet.com/id/job/84124393
84206625,Lead Data Engineer,CAPGEMINI SINGAPORE PTE. LTD.,Singapore,2025-05-13 16:54:29,https://id.jobstreet.com/id/job/84206625
83418363,Data Engineer,Paradigm Holdings,Singapore,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/83418363
83832807,Splunk Ops Engineer,NCS Hong Kong and Singapore,Ang Mo Kio,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/83832807
80701591,Data Engineer (Data Operations) (In Partnership with IMDA),Phillip Securities Pte Ltd,Singapore,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/80701591
84717407,Analytics Engineer,One Community Holding Singapore,Marina Centre,2025-06-05 05:54:29,https://id.jobstreet.com/id/job/84717407
84587949,Senior AWS Data Engineer (6 Months Contract)New,PALO IT SINGAPORE PTE. LTD.,Singapore,2025-05-30 16:54:29,https://id.jobstreet.com/id/job/84587949
84225350,"Infra Engr, Infra DataOps",NCS Pte Ltd,Singapore,2025-05-14 16:54:29,https://id.jobstreet.com/id/job/84225350
84701300,G07 - Data Engineer,FPT Asia Pacific Pte Ltd,Singapore,2025-06-04 16:54:29,https://id.jobstreet.com/id/job/84701300
84697141,Data Engineer - TEKsystems (Allegis Group Singapore Pte Ltd),Allegis Group Singapore Pte Ltd,Singapore,2025-06-04 16:54:29,https://id.jobstreet.com/id/job/84697141
84231653,Senior Azure Big Data Engineer,PALO IT SINGAPORE PTE. LTD.,East Region,2025-05-08 16:54:29,https://id.jobstreet.com/id/job/84231653
84568885,Data Engineer,Network Guard,North Region,2025-05-29 16:54:29,https://id.jobstreet.com/id/job/84568885
78511436,"Data Engineer, Digital Government Blueprint (DGB 2.0)",Public Service Division,Singapore,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/78511436
84544247,Data Engineer,Unison Consulting Pte. Ltd.,Changi,2025-05-28 16:54:29,https://id.jobstreet.com/id/job/84544247
84671802,IT Systems Engineer,Esco Aster Pte. Ltd.,Queenstown,2025-06-03 16:54:29,https://id.jobstreet.com/id/job/84671802
84202109,Data Engineer,Innowave Tech Pte Ltd,East Region,2025-05-14 16:54:29,https://id.jobstreet.com/id/job/84202109
84323416,Data Engineer - eClerx Private Ltd,ECLERX PRIVATE LIMITED,Singapore,2025-05-19 16:54:29,https://id.jobstreet.com/id/job/84323416
83482854,Data Engineer,SMRT Corporation Ltd,Singapore,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/83482854
84318999,BI Engineer,USER EXPERIENCE RESEARCHERS PTE. LTD,Ang Mo Kio,2025-05-19 16:54:29,https://id.jobstreet.com/id/job/84318999
83729756,Senior Data Engineer,WSH Experts Pte Ltd,Singapore,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/83729756
84520695,Data Engineer,Goldtech Resources Pte Ltd,Singapore,2025-05-27 16:54:29,https://id.jobstreet.com/id/job/84520695
79431816,ART-1125 Data Engineer,FPT Asia Pacific Pte Ltd,Singapore,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/79431816
84224506,Databricks Data Engineer,Evolution Recruitment Solutions Pte Ltd,Singapore,2025-05-14 16:54:29,https://id.jobstreet.com/id/job/84224506
84074537,Data Engineer,AsiaPac Technology Pte Ltd,Tiong Bahru,2025-05-07 16:54:29,https://id.jobstreet.com/id/job/84074537
84328326,BI Engineer,USER EXPERIENCE RESEARCHERS PTE. LTD,North Region,2025-05-19 16:54:29,https://id.jobstreet.com/id/job/84328326
84454689,Data Engineer( Banking Domain),Ridik,Singapore,2025-05-24 16:54:29,https://id.jobstreet.com/id/job/84454689
84070101,Data Engineer,FPT Asia Pacific Pte Ltd,Singapore,2025-05-07 16:54:29,https://id.jobstreet.com/id/job/84070101
78658651,NDT Database Operator,Bureau Veritas Singapore Pte Ltd,Singapore,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/78658651
84274870,Database Administrator,NCS Pte Ltd,Singapore,2025-05-16 16:54:29,https://id.jobstreet.com/id/job/84274870
83448441,ART 1284 Data Engineer,FPT Asia Pacific Pte Ltd,Singapore,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/83448441
83615679,Data Engineer,Eastspring Investments (Singapore) Limited,Singapore,2025-05-06 16:54:29,https://id.jobstreet.com/id/job/83615679
