Job_ID,Role,Company,Location,Publish_Time,URL,country,job_desc,salary,work_type
85866559,Associate Data Engineer - Datawarehouse (Engineering & Ops),Synapxe,One North,2025-07-18 08:28:05,https://id.jobstreet.com/id/job/85866559,singapore,"Position Overview; The Data Engineer supports the implementation of data structure and architecture, master/meta-data management approach and data quality programme to facilitate access to data and information. He/She support the design, implementation and maintenance of data flow channels and data processing systems that support the collection, storage, batch and real-time processing, and analysis of information from structured and unstructured sources in a scalable, repeatable and secure manner on on-premise or commercial cloud. He/She implements data management standards and practices.; Role & Responsibilities; Manage and prioritize user queries and production issues for existing applications in Engineering and Operations; Track and resolve production support incidents; Attend user meetings to document and analyze change request requirements or conduct regular workgroup meetings with stakeholders; Perform data profiling and mapping to define data requirements for new projects or change requests; Provide support for production reports, dashboards, and metadata; Collaborate with vendors and developers to design, configure, and test enhancements per Synapxe project methodologies; Translate user requirements into analytics, reporting needs, and ETL rules for new data mart applications and enhancements; Identify and document business attributes and metrics by analyzing existing data and reporting requirements; Conduct technical data mapping for potential data warehouse sources; Execute testing phases (system integration testing, user acceptance testing) before implementation; Provide 24/7 primary application maintenance support; Assist the Project Manager in assessing technical feasibility for cost evaluations; Requirements; Bachelor's degree in Computer Science, Information Technology, or a related field; At least 4 years of experience in the IT industry, including:; Development, implementation, and maintenance of IT systems, preferably in Data Warehousing, ETL rules, data modeling, and BI applications; Operations support and business analysis experience; Strong MS-SQL and Oracle Database scripting; Experience in diagnosing, troubleshooting, and performing root cause analysis; Ability to diagnose and troubleshoot problems with BI reports and ETL processes; Experience with AWS, Data Lake, Databricks, and the healthcare domain is a plus; Able to work independently and as an effective team player with a strong desire to deliver results; Adaptable, meticulous, and possess strong analytical skills; Good communication skills (both written and spoken); Strong team player; Apply Now; NOTE: It only takes a few minutes to apply for a meaningful career in HealthTech - GO FOR IT!!; #LI-SYNX40",,Full time
85833905,Data Engineer - Cloud Operations (Engineering & Ops),Synapxe,One North,2025-07-17 20:28:05,https://id.jobstreet.com/id/job/85833905,singapore,"Company description:; ; Synapxe is the national HealthTech agency inspiring tomorrow's health. The nexus of HealthTech, we connect people and systems to power a healthier Singapore.; ; Together with partners, we create intelligent technological solutions to improve the health of millions of people every day, everywhere. Reimagine the future of health together with us at www.synapxe.sg; ; ; Job description:; ; Position Overview; This position will serve as primary support for cloud operations related to IDMC, Tableau, STATA, Sagemaker and Databricks. This role will be responsible for ensuring platforms operate reliably, securely and efficiently within the AWS environment. Responsibilities include maintaining operational excellence, monitoring and automation, managing incident response and performance optimization and ensure governance and cloud best practices.; Role & Responsibilities; Operational Architecture and Reliability; Design scalable, fault-tolerant, and high available AWS infrastructure; Define and implement operational best practices for cloud workloads (compute, storage, database); Monitoring and Logging; Build and maintain operational playbooks; Setup alerts, dashboards and logs to track health and performance of AWS workloads; Incident Management and Troubleshooting; Conduct Root Cause analysis and drive permanent fixes for recurring issues; Define and enforce incident response processes and escalation paths; Lead resolution of incidents; Requirements; Degree in Computer Science, Computer Engineering; Minimum 10-12 year working experience in system operations compliance and management areas; 5+ years of experience in cloud operations or cloud architecture; Must be cloud certified; Good in-depth understanding of data warehouse concepts, data profiling, data verification and advanced analytics techniques; Strong knowledge of monitoring, incident management, and clous cost control; Possess prior hands-on experience with technologies such as AWS, IDMC, Tableau, .NET, MS-SQL database, Oracle Database, Databricks, ML Ops, STATA, Sagemaker, Data Robot technologies.; Good interpersonal skills with the ability to work with different groups of stakeholders; Exposure to hospital information / clinical systems is an added advantage; Apply Now; NOTE: It only takes a few minutes to apply for a meaningful career in HealthTech - GO FOR IT!!; #LI-SYNX40",,Full time
85838975,Data Engineer - ETL (MOH ITDG),Synapxe,One North,2025-07-17 20:28:05,https://id.jobstreet.com/id/job/85838975,singapore,"Company description:; ; Synapxe is the national HealthTech agency inspiring tomorrow's health. The nexus of HealthTech, we connect people and systems to power a healthier Singapore.; ; Together with partners, we create intelligent technological solutions to improve the health of millions of people every day, everywhere. Reimagine the future of health together with us at www.synapxe.sg; ; ; Job description:; ; Position Overview Role & Responsibilities; Develop TRUST data strategy:; Work with stakeholders to understand data analytics needs, data structure requirements (both in terms of scalability and accessibility), and translate this into a coherent near to long term data strategy for TRUST; Support translation of data business needs into technical system requirements for MCDR, in terms of collection, storage, batch -time processing, as well as analysis of information from structured and unstructured sources in a scalable, repeatable, and secure manner; Identify opportunities for improvements and optimisation e.g., Implement best practices and performance optimization on Big Data and Cloud to achieve the best data engineering outcomes; Oversee data preparation and data provisioning for TRUST:; Collaborate with data engineers to organise and prepare anonymised datasets in MCDR according to TRUST standards, and then providing the data in accordance with the approved TRUST Data Request. This involves working with the data engineers closely to ensure that the datasets meet the required standards and are made available as per the specific data request guidelines set by TRUST; Oversee implementation of common data model and data quality programme in TRUST and MCDR; Work with data analysts, data scientists, clinicians and other stakeholders to implement common data models to support analytics use cases; Design and implement tools to enhance the data strategy and enable seamless integration with the data, potentially leveraging API calls for efficient integration; Implement data management standards and practices; Requirements; Degree/master's in computer science, Information Technology, Computer Engineering or equivalent; At least ten (10) years of relevant working experience in Data management / Integration / Modelling the data warehouse or advanced analytics solutions; Demonstrate good, in-depth knowledge in relevant Extract-Transform-Load (ETL) hardware/software products, frameworks, and methodologies; Experience in designing and implementing cloud-based data solutions using cloud platforms (e.g., AWS cloud native tools); Databases (e.g., Oracle, MS SQL, MySQL, Teradata); Big data (e.g., Hadoop ecosystem); ETL development using ETL tools (e.g., Informatica, IBM DataStage, Talend); Data repository design (e.g., operational data stores, dimensional data stores, data marts); Experience in interacting with analytics stakeholders (economists, statisticians, clinicians, policy makers) on a business or domain level; Comfortable working independently to carry out data analysis, estimate data quality and sufficiency; Good interpersonal skills, a detail-oriented & flexible person who can work across different areas within the team; The following will be preferred: Some understanding of Singapore Healthcare System and healthcare data governance, management; and/or familiarity with health informatics; Apply Now; NOTE: It only takes a few minutes to apply for a meaningful career in HealthTech - GO FOR IT!!; #LI-SYNX40",,Full time
85866605,Assistant Lead Engineer - Data (Engineering & Ops),Synapxe,One North,2025-07-18 08:28:05,https://id.jobstreet.com/id/job/85866605,singapore,"Position Overview; The data engineer will be attached to the L3 Operations team lead to oversee/manage the following areas:; Administration and operations processes in data virtualization and visualization applications and components, including Tableau, OAS, Sagemaker, Appsstream; Technical refresh projects for application components near EOS/EOL; Security compliance and deviations; Facilitate the operations transition after migration to HEALIX; Role & Responsibilities; Manage systems administration function and lead the organisation's system projects and environments for sustainable operations; Plan and oversee systems upgrades and migrations, ensuring systems are up-to-date with the latest patches and coherent across the organisation; Address multi-faceted issues effectively and collaboratively across departments; Integrate diverse needs and perspectives from internal and external clients; Develop new and innovative ideas and solutions; Influence key stakeholders and clients to adopt a data-driven approach to resolve business issues; Oversee budgeting and planning; Set data standards, governance, and best practices; Develop standards, policies, and controls to ensure system security and compliance; Execute standard operating procedures to ensure system security and compliance; Maintain up-to-date inventory of existing system assets and architecture artifacts with the latest technologies; Provide guidance on best practices related to data governance and security compliance processes; Continually educate staff on the latest changes in standard operations practices and policies; Performance Optimization and Continuous Improvement:; Recommend process, product, or service improvements, resource optimization, and cost savings; Oversee hardware and software upgrades; Review resource utilization to identify areas for improvement or resolve bottlenecks; Recommend new technologies, methodologies, systems, or opportunities for cost savings, security, and service quality improvement; Optimize and automate processes to achieve higher efficiency and sustainability; Team Management:; Oversee team management, including budgets, forecasting, work allocations, and staffing; Develop staff through ongoing coaching, mentoring, and career discussions; Define common goals, direction, and accountability among staff; Drive effective performance management practices within the department in accordance with company policies and procedures; Requirements; Degree in Computer Science, Computer Engineering; Minimum 12-15 year working experience in system operations compliance and management areas; Highly-motivated self-starter who will undertake all activities to the highest professional standards; Must be cloud certified; Good in-depth understanding of data warehouse concepts, data profiling, data verification and advanced analytics techniques; Experience in managing a team in project implementation or support is a must; Certification in IT operation management is preferred; Possess prior hands-on experience and technical expertise such as Databricks, Informatica, Tableau, OBIEE, SQL databases & AWS cloud technologies; Good interpersonal skills with the ability to work with different groups of stakeholders; Exposure to hospital information / clinical systems is an added advantage; Apply Now; NOTE: It only takes a few minutes to apply for a meaningful career in HealthTech - GO FOR IT!!; #LI-SYNX34",,Full time
85872576,Data Engineer,"Exoduspoint Capital Management Singapore, Pte. Ltd.",Central Region,2025-07-18 09:28:05,https://id.jobstreet.com/id/job/85872576,singapore,"ExodusPoint Capital, founded in 2017 by Michael Gelband, began managing investor capital in 2018. The firm employs a global multi-strategy investment approach, seeking to deliver compelling asymmetric returns by combining complementary liquid strategies managed by experienced investment professionals within a robust risk framework. ExodusPoint brings together an accomplished team with hands-on experience running multi-manager businesses to create an institutional investment management firm.; ExodusPoint is seeking an experienced Data Engineer with financial data knowledge to join an established data engineering team to help build a next generation data offering for ExodusPoint’s diverse investment teams, varying across asset classes and strategies. The ideal candidate is a domain expert on financial datasets who has technical skills to work with business and create enterprise data assets utilizing advanced data processing techniques and tools.; The Enterprise Data group is focused on building a robust data platform which services a diverse set of investment teams and internal clients. The group consists of data sourcing experts, data product specialists, data scientists and data engineers, who are responsible for the discovery, management, and curation of thousands of alpha sources for the firm and our investment professionals.; Responsibilities:;  Build data sets using Python, SQL, Snowflake, Kafka, AWS, and other related technologies.;  Understand financial reference data sets from Bloomberg and/or Refinitiv.;  Engage with vendors and technical teams to systematically ingest, evaluate, and create valuable data assets;  Engage with technical and non-technical clients as SME on data asset offerings;  Collaborate with core engineering team to create central capabilities to process, manage and distribute data assts at scale;  Apply robust data quality rules to systemically qualify data deliveries and guarantee the integrity of financial datasets;  Investigate and remediate domain-specific production issues escalated by the operations teams;  Enrich the central data catalog with advanced data profiling visualizations to enable discovery and evaluation;  Build up internal documentation and sample uses cases of the data sets;  Partner with data strategy and sourcing team on data requirements to design data pipelines and delivery structures.; Qualifications:;  Bachelor's degree in STEM;  +3 years of experience with programming in Python and/or Java;  Experience working with security master, financial datasets and/or enterprise financial vendor data products;  Familiar with SQL and/or time-series database technologies;  Experience with data modeling, data warehousing, and building data pipelines;  Experience working with FTP, API, S3 and other distribution channels to source data;  Experience working on multiple projects and with different stakeholders; Desired Qualifications:;  Hands-on experience with AWS native data and compute technologies (S3, Lambda, Glue, DataSync, EMR, Athena, Lake Formation, Kinesis, etc.).;  Experience designing and working with APIs (REST, GraphQL, etc.).;  Experience with Apache Kafka or other data streaming technologies.;  Knowledge of developing containerized applications.;  Experience with JIRA and Agile project management.",,Full time
85843199,Backend Data Engineer,Whitehall Resources,Singapore,2025-07-17 20:28:05,https://id.jobstreet.com/id/job/85843199,singapore,"Backend Data Engineer; Backend Data Engineer required by Whitehall Resources for a 9-12 Month extendable project assignment for our client headquartered in Germany.; Please note, we are looking for candidates that can either work in CET or APAC time zones. Candidates based in offshore locations such as APAC are preferred.; Start Date: ASAP; Duration: 9-12 Months extendable; Delivery: Fully Remote; Capacity: Full Time; Overview:; We are seeking a skilled Backend Data Engineer to design, build, and maintain scalable data pipelines and infrastructure that support advanced analytics and business intelligence. You will work closely with data scientists, analysts, and platform teams to ensure efficient, secure, and reliable data delivery.; Key Responsibilities:; - Develop and maintain ETL/ELT pipelines using tools such as Apache Spark, Airflow, or dbt; - Design and optimize data warehouses and data lakes (e.g., Snowflake, BigQuery, Redshift); - Integrate data from various sources including APIs, databases, and streaming platforms; - Ensure data quality, consistency, and security through validation and monitoring; - Collaborate with DevOps to automate deployments and CI/CD workflows; Key Skills & Technologies:; - Proficient in Python, SQL, and working with relational & NoSQL databases; - Experience with cloud platforms (AWS, GCP, or Azure); - Knowledge of data modeling, partitioning, and performance tuning; - Familiarity with Kafka, Spark, or other big data technologies; - Understanding of data governance, security, and compliance (GDPR, etc.); Start Date is ASAP!; Please Apply Now!; All of our opportunities require that applicants are eligible to work in the specified country/location, unless otherwise stated in the job description.; Whitehall Resources are an equal opportunities employer who value a diverse and inclusive working environment. All qualified applicants will receive consideration for employment without regard to race, religion, gender identity or expression, sexual orientation, national origin, pregnancy, disability, age, veteran status, or other characteristics.",,Kontrak/Temporer
85865507,Senior Data Engineer - TEKsystems (Allegis Group Singapore Pte Ltd),Allegis Group Singapore Pte Ltd,Singapore,2025-07-18 07:28:05,https://id.jobstreet.com/id/job/85865507,singapore,"Optimize ETL/ELT processes for real-time and batch data processing; Ensure data quality, consistency, and lineage across enterprise systems; Work closely across functions teams to understand data needs and develop effective solutions; Job Summary; We are seeking an experienced data engineer where the candidate will focus on designing, building, and maintaining robust data pipelines, ensuring best practices are followed across engineering and governance; The ideal candidate is technically hands-on, understands the full data lifecycle, able to drive work independently and is driven by quality, scalability, and collaboration, with a strong openness and willingness to learn, adapt, and pick up new technologies as needed.; Responsibilities; • Design and develop scalable data pipelines to ingest, process, and store structured and unstructured data from internal and external sources.; • Optimize ETL/ELT processes for real-time and batch data processing.; • Ensure data quality, consistency, and lineage across enterprise systems.; • Work closely across functions teams to understand data needs and develop effective solutions.; • Enforce data governance policies to ensure compliance with industry regulations and internal standards.; • Provide guidance on best practices for data management and analytics to cross-functional teams.; Requirements; • Bachelor's Degree in relevant discipline.; • 5+ years of experience in data engineering; • Proven experience in designing and building data pipeline in Azure Synapse or Databricks; • Strong expertise in SQL, Python, or Scala for data processing and transformation.; • Proven experience in big data processing and working with technologies such as Apache Spark, Hadoop, Snowflake, Databricks, or AWS/GCP/Azure data platforms.; • Hands-on experience with ETL/ELT tools and modern data warehousing solutions.; • Experience in implementing data governance and security measures, with a strong understanding of how governance applies across the entire data pipeline to ensure quality, security and compliance.; • Experience with data modeling and data analytics is advantageous.; • Excellent communication and stakeholder management skills.; • Strong analytical and problem-solving skills with attention to detail.; • Detail-oriented and able to balance multiple tasks in a fast-paced environment.; • Ability to work independently and as part of a cross-functional team.; We regret to inform that only shortlisted candidates will be notified / contacted.; EA Registration No.: R21109465, Marshall Tan; Allegis Group Singapore Pte Ltd, Company Reg No. 200909448N, EA License No. 10C4544; information_technology",,Full time
85845477,Data Engineer,TOPPAN Ecquaria Pte Ltd,Braddell,2025-07-17 20:28:05,https://id.jobstreet.com/id/job/85845477,singapore,"Responsibilities:; Design and implement robust, scalable data pipelines and architectures to support data ingestion, processing, and storage. Including performance optimizations for data modeling and ingestion; Develop and optimize complex SQL queries and stored procedures for data extraction, transformation, and analysis.; Model data to meet different use casesng applications and automate data workflows.; Collaborate with data scientists and analysts to understand data requirements and deliver high-quality data solutions.; Lead the integration of data from various sources into data lakes and warehouses, ensuring data quality and consistency.; Monitor and troubleshoot data pipelines and workflows to ensure optimal performance and reliability.; Communicate with and support data users; Document data processes, data models, and architectural designs to ensure knowledge sharing and compliance with best practices.; Prerequisites:; Experience: Minimum 3 years in data engineering fields with system integration, and at least 1 year in system integration and implementation in cloud/web-based environments.; Proven Solutions: Demonstrated experience in providing effective, working solutions and implementations, particularly in cloud-based environments.; Technical Skills:; Solid understanding of ETL processes, data warehousing concepts, and data modeling best practices.; Proficiency in Databricks, Azure Data lake, PowerBI, Tableau and related data processing and visualisation software.; Familiarity with Windows, Linux, AWS and/or Azure platforms.; Strong programming skills in languages such as Python and R is a must; Proficiency in other programming languages such as Java, Scala and C# will be advantages; Experience in data processing frameworks (e.g., Apache Spark, Apache Flink); Preferred Exposure:; Experience with large-data management system with visualisation tools.; Experience with Data Integration and ETL Pipelines, Data Warehousing and BI reporting projects.; Experience with Singapore Government Project will be advantages; Personal Attributes:; Excellent problem-solving skills; Ability to work independently; Collaborative in a fast-paced environment; Why Join Us?; Be part of a forward-thinking team that is transforming government digital services. If you are passionate about technology and innovation, and thrive in a dynamic environment, we want to hear from you!; If you are passionate about building partnerships and driving growth, we would love to hear from you!; TOPPAN Ecquaria is an equal opportunity employer and values diversity within our company. We welcome all interested candidates to apply for this position, however, we regret to inform that only shortlisted candidates will be contacted by us for an interview.; Find us at www.topppanecquaria.com or www.linkedin.com/company/toppan-ecquaria; For more career opportunities, please visit our career site at:- https://toppanecquaria.com/careers/job-openings?utm_source=Jobstreet&utm_medium=Page&utm_campaign=2020 (Please copy & paste the above link onto your browser)",,Full time
85823545,Data Engineer,Innowave Tech Pte Ltd,Paya Lebar East,2025-07-17 20:28:05,https://id.jobstreet.com/id/job/85823545,singapore,"About Innowave Tech Singapore ; Innowave Tech is an Artificial Intelligence (AI) company offering solutions for the Semiconductor and Advanced Manufacturing industry. Utilizing deep industrial domain knowledge, proven experience, and innovation, we provide expert AI solutions and systems to address various industry pain points. ;  Roles & Responsibilities ; We are seeking Data Engineer to establish and lead our data infrastructure. The successful candidate will be responsible for building our data engineering practice from the ground up, implementing robust data systems for industrial AI applications, and establishing best practices that will power our semiconductor manufacturing AI solutions. ;  Your Role and Impact ; As our first Data Engineer, you will have a foundational role in building robust data infrastructure to handle manufacturing data and LLM applications, while establishing secure data practices that power our AI solutions for advanced manufacturing operations. ;  What You’ll Do ; Select and manage on-premises technologies suitable for secure and efficient operations. ; Build robust pipelines to collect, clean, and transform diverse datasets including process data, sensor data, image data, and human annotations. ; Ensure secure, maintainable, and scalable deployment of data infrastructure. ; Define and enforce best practices in data governance, privacy, and access control. ; Collaboration & Deployment. ;  What We’re Looking For ; Educational Background: ; Minimum Poly or Bachelor Degree in Computer Science, Engineering, or a related field. ; * We welcome applications from Singapore Citizens, Permanent Residents (PRs), Malaysians, and local graduates bonded for local employment, in accordance with MoM regulations.;  Technical Expertise: ; 3+ years of experience in data engineering roles, ideally with on-premises or hybrid infrastructure. ; Proven track record of building scalable data systems from ground up in a startup environment. ; Proficiency in Python and/or Java for data pipeline development. ; Solid experience with ETL frameworks (e.g., Apache Airflow, Dagster) and streaming systems (e.g., Kafka). ; Experience designing and maintaining SQL and NoSQL databases. ; Experience building and operating data lakes and data catalog. ; Familiarity with containerization (Docker), version control (Git), and CI/CD practices. ;  Soft Skills: ; Excellent communication skills and ability to collaborate with cross-functional technical and non-technical teams. ; Excellent problem-solving and debugging abilities. ; Ability to balance engineering tradeoffs. ;  Bonus Skills: ; Experience with manufacturing data systems, especially SPC, SCADA, and industrial sensor protocols (e.g., OPC UA, MQTT, Modbus). ; Familiarity with AI/ML pipelines and tools (e.g., MLflow). ; Knowledge in vector databases and LLM data infrastructure. ; Prior experience working in or with regulated industries (e.g., semiconductor, automotive, aerospace). ; What we Offer ; • A leading role in cutting-edge AI projects within the semiconductor industry. ; • The opportunity to work with an learn from experts in the field of AI and data science. ; • A dynamic, innovative, and supportive work environment. ; • Competitive salary and benefits package. ; • Career growth opportunities in a fast-paces technology company.","$5,333 – $8,000 per month (SGD)",Full time
85846352,Data Engineer - ETL (MOH ITDG),Synapxe,Singapore,2025-07-17 20:28:05,https://id.jobstreet.com/id/job/85846352,singapore,"Develop TRUST data strategy:; Work with stakeholders to understand data analytics needs, data structure requirements (both in terms of scalability and accessibility), and translate this into a coherent near to long term data strategy for TRUST; Support translation of data business needs into technical system requirements for MCDR, in terms of collection, storage, batch -time processing, as well as analysis of information from structured and unstructured sources in a scalable, repeatable, and secure manner; Identify opportunities for improvements and optimisation e.g., Implement best practices and performance optimization on Big Data and Cloud to achieve the best data engineering outcomes; Oversee data preparation and data provisioning for TRUST:; Collaborate with data engineers to organise and prepare anonymised datasets in MCDR according to TRUST standards, and then providing the data in accordance with the approved TRUST Data Request. This involves working with the data engineers closely to ensure that the datasets meet the required standards and are made available as per the specific data request guidelines set by TRUST; Oversee implementation of common data model and data quality programme in TRUST and MCDR; Work with data analysts, data scientists, clinicians and other stakeholders to implement common data models to support analytics use cases; Design and implement tools to enhance the data strategy and enable seamless integration with the data, potentially leveraging API calls for efficient integration; Implement data management standards and practices",,Full time
85846361,Reporting and Analytics Developer/Data Engineer 0910,USER EXPERIENCE RESEARCHERS PTE. LTD,Singapore,2025-07-17 20:28:05,https://id.jobstreet.com/id/job/85846361,singapore,"We are seeking a highly skilled and experienced Big Data Engineer to join our team. The ideal candidate will have a minimum of 4 years of experience managing data engineering jobs in big data environment e.g., Cloudera Data Platform. The successful candidate will be responsible for designing, developing, and maintaining the data ingestion and processing jobs. The candidate will also be integrating data sets to provide seamless data access to users.; The developer is responsible to:; i. Analyse the Authority's data needs and document the requirements.; ii. Refine data collection/consumption by migrating data collection to more efficient channels; iii. Plan, design, and implement data engineering jobs and reporting solutions to meet the analytical needs.; iv. Develop test plan and scripts for system testing, support user acceptance testing.; v. Work with the Authority's technical teams to ensure smooth deployment and adoption of new solution.; vi. Ensure the smooth operations and service level of IT solutions.; vii. Support production issues; Skill Set and Track Record:; i. Tertiary Education in relevant fields is preferred.; ii. Good understanding and completion of projects using waterfall/Agile methodology.; iii. Analytical, conceptualisation and problem-solving skills.; iv. Good understanding of analytics and data warehouse implementations; v. Hands-on experience in big data engineering jobs using Python, Pyspark, Linux, and ETL tools like Informatica; vi. Strong SQL and data analysis skills. Hands-on experience in data virtualisation tools like Denodo will be an added advantage; vii. Hands-on experience in a reporting or visualization tool like SAP BO and Tableau is preferred; viii. Track record in implementing systems using Cloudera Data Platform will be an added advantage.; ix. Motivated and self-driven, with ability to learn new concepts and tools in a short period of time; x. Team player with ability to collaborate and work effectively within team; · Good written and verbal communication and interpersonal skills, ability to communicate confidently with stakeholders; xi. Passion for automation, standardization, and best practices; xii. Good presentation skills are preferred",,Full time
