Job_ID,Role,Company,Location,Publish_Time,URL
84544309,Big Data Developer,ALMR CONSULTING PTE. LTD.,Singapore,2025-05-28 14:53:06,https://id.jobstreet.com/id/job/84544309
84691849,"Senior Data Engineer, AI/Machine Learning Lab",Changi Airport Group (Singapore) Pte. Ltd.,Changi,2025-06-04 07:53:06,https://id.jobstreet.com/id/job/84691849
84671216,Data Engineer,HORIZON COMPUTER MANAGEMENT PTE. LTD.,Singapore,2025-06-03 14:53:06,https://id.jobstreet.com/id/job/84671216
84019756,Data Engineer Lead,Mister Mobile Trading Pte Ltd,East Region,2025-05-06 14:53:06,https://id.jobstreet.com/id/job/84019756
84515489,Data Engineer,PEPPER INTERNET TECHNOLOGY PTE. LTD.,Central Region,2025-05-27 14:53:06,https://id.jobstreet.com/id/job/84515489
75168122,Senior/ Data Engineer - DSC/EZ,ST Engineering Mission Software & Services Pte Ltd,North-East Region,2025-05-19 14:53:06,https://id.jobstreet.com/id/job/75168122
84373493,Junior Data Engineer (Python / JAVA / SQL),Vanguard Software Pte Ltd,Central Region,2025-05-21 14:53:06,https://id.jobstreet.com/id/job/84373493
84335698,Data Engineer,Michael Page International Pte Ltd,Central Region,2025-05-20 14:53:06,https://id.jobstreet.com/id/job/84335698
84360289,Data engineer - Azure,Flintex Consulting Pte Ltd,City Hall,2025-05-21 14:53:06,https://id.jobstreet.com/id/job/84360289
84239357,Associate Data Engineer (1-2 Years Contract),SPD Scientific Pte Ltd,Pasir Panjang,2025-05-15 14:53:06,https://id.jobstreet.com/id/job/84239357
84497750,Data Engineer (Informatica or Talend) | 3-Year Contract,BGC Group Pte Ltd,Singapore River,2025-05-27 14:53:06,https://id.jobstreet.com/id/job/84497750
84027558,Big Data Developer,Linkedcorp HR Consultancy Pte Ltd,Central Region,2025-05-06 14:53:06,https://id.jobstreet.com/id/job/84027558
84045080,"Senior Data Engineer (Python, Azure, Power BI)",PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),North-East Region,2025-05-07 14:53:06,https://id.jobstreet.com/id/job/84045080
84511671,Data Science & Engineer,Flintex Consulting Pte Ltd,City Hall,2025-05-27 14:53:06,https://id.jobstreet.com/id/job/84511671
84008497,Data Science & Engineer,Flintex Consulting Pte Ltd,City Hall,2025-05-06 14:53:06,https://id.jobstreet.com/id/job/84008497
84233154,Data Engineer,PSA Corporation Limited,Pasir Panjang,2025-05-15 14:53:06,https://id.jobstreet.com/id/job/84233154
84313478,Senior Data Engineer (Team Lead),Innergy Consulting Pte. Ltd.,Central Region,2025-05-19 14:53:06,https://id.jobstreet.com/id/job/84313478
84089769,Lead Data Engineer,Achieve Career Consultant Pte Ltd,Central Region,2025-05-08 14:53:06,https://id.jobstreet.com/id/job/84089769
84572649,Senior Data Engineer,Cadenza Solutions,Singapore,2025-05-29 14:53:06,https://id.jobstreet.com/id/job/84572649
84591696,AI Engineer,FULLERTON HEALTHCARE GROUP PTE LTD,Central Region,2025-05-30 14:53:06,https://id.jobstreet.com/id/job/84591696
84572186,Senior/ Data Engineer,BW LPG Holding Pte Ltd,Queenstown,2025-05-29 14:53:06,https://id.jobstreet.com/id/job/84572186
84515684,Data Engineer,RISKDATA CONSULTING PTE. LTD.,Central Region,2025-05-27 14:53:06,https://id.jobstreet.com/id/job/84515684
84549953,Senior Data Solutions Architect,Systems on Silicon Manufacturing Co Pte Ltd,Singapore,2025-05-29 14:53:06,https://id.jobstreet.com/id/job/84549953
82451779,Business Intelligence Developer,ESR Group,Singapore,2025-05-05 14:53:06,https://id.jobstreet.com/id/job/82451779
84589092,CDP Data Engineer,Hays Specialist Recruitment Pte Ltd,Central Region,2025-05-30 14:53:06,https://id.jobstreet.com/id/job/84589092
84192982,Data Engineer,Paradex,Singapore,2025-05-13 14:53:06,https://id.jobstreet.com/id/job/84192982
84181061,Data Engineer,SMRT Corporation Ltd,Bishan,2025-05-13 14:53:06,https://id.jobstreet.com/id/job/84181061
84363586,Data Engineer,Assurity Trusted Solutions Pte Ltd,Singapore River,2025-05-21 14:53:06,https://id.jobstreet.com/id/job/84363586
84521321,Senior Data Development Engineer,TXT TECHNICAL PTE. LTD.,Central Region,2025-05-27 14:53:06,https://id.jobstreet.com/id/job/84521321
84604669,Full Stack Developer,Flintex Consulting Pte Ltd,City Hall,2025-05-31 14:53:06,https://id.jobstreet.com/id/job/84604669
84241582,"Manager, Data Science",American Express International Inc,Raffles Place,2025-05-15 14:53:06,https://id.jobstreet.com/id/job/84241582
84544407,Data Engineer,UARROW PTE. LTD.,Changi,2025-05-28 14:53:06,https://id.jobstreet.com/id/job/84544407
84217542,"Technical Lead (Azure Data, Bank) | Permanent",GMP Group HQ,East Region,2025-05-14 14:53:06,https://id.jobstreet.com/id/job/84217542
84612191,"Data Engineer (Control M, Hadoop, Spark, Hive, Big Data)",NEPTUNEZ SINGAPORE PTE. LTD.,Singapore,2025-05-31 14:53:06,https://id.jobstreet.com/id/job/84612191
84523558,IT Business Intelligence Analyst,ISS FACILITY SERVICES PRIVATE LIMITED,Central Region,2025-05-28 14:53:06,https://id.jobstreet.com/id/job/84523558
83418363,Data Engineer,Paradigm Holdings,Singapore,2025-05-05 14:53:06,https://id.jobstreet.com/id/job/83418363
84188892,Big Data Intern,百度(香港)有限公司,Singapore River,2025-05-13 14:53:06,https://id.jobstreet.com/id/job/84188892
84356922,Executive,StarHub Ltd,Singapore,2025-05-20 14:53:06,https://id.jobstreet.com/id/job/84356922
84276514,"Research Officer (Research Data Integration), BII","Agency for Science, Technology and Research (A*STAR)",One North,2025-05-16 14:53:06,https://id.jobstreet.com/id/job/84276514
84028134,Associate Data Engineer (Internship),SPD Scientific Pte Ltd,Pasir Panjang,2025-05-06 14:53:06,https://id.jobstreet.com/id/job/84028134
84110019,Data Engineer (Python),ST ENGINEERING INFO-SECURITY PTE. LTD,Jurong East,2025-05-09 14:53:06,https://id.jobstreet.com/id/job/84110019
84543673,Informatica Engineer,RISKDATA CONSULTING PTE. LTD.,Central Region,2025-05-28 14:53:06,https://id.jobstreet.com/id/job/84543673
84269279,"Senior / Lead Data Engineer (Python, Kafka, Iceberg, ClickHouse)",Vanguard Software Pte Ltd,Central Region,2025-05-16 14:53:06,https://id.jobstreet.com/id/job/84269279
84387712,Senior Data Platform Engineer,MB ENERGY (SGP) PTE. LTD.,Central Region,2025-05-21 14:53:06,https://id.jobstreet.com/id/job/84387712
84697746,"Talend Technical Lead (Senior Associate/Manager) AI & Data, Technology",Ernst & Young Solutions LLP,Singapore,2025-06-03 19:53:06,https://id.jobstreet.com/id/job/84697746
84243639,Full Stack Developer,Flintex Consulting Pte Ltd,City Hall,2025-05-15 14:53:06,https://id.jobstreet.com/id/job/84243639
84393093,Senior Data Engineer,Avatar Techno Service,Singapore,2025-05-21 14:53:06,https://id.jobstreet.com/id/job/84393093
84107467,Software Engineer,Pick Network Pte Ltd,Maritime Square,2025-05-09 14:53:06,https://id.jobstreet.com/id/job/84107467
84542865,Senior Data Engineer,Plaud AI,Singapore,2025-05-28 14:53:06,https://id.jobstreet.com/id/job/84542865
84696380,Software Engineer (DSC/CY),ST Engineering Geo-Insights Pte Ltd,Ang Mo Kio,2025-06-04 10:53:06,https://id.jobstreet.com/id/job/84696380
76727254,"Data Analyst, AI & Data, Technology Consulting",Ernst & Young Solutions LLP,Singapore,2025-05-05 14:53:06,https://id.jobstreet.com/id/job/76727254
84441175,Data Scientist,Yokogawa Engineering Asia Pte Ltd,Bedok South,2025-05-23 14:53:06,https://id.jobstreet.com/id/job/84441175
84543796,Informatica Engineer,UARROW PTE. LTD.,Changi,2025-05-28 14:53:06,https://id.jobstreet.com/id/job/84543796
84544108,Application Developer (Asp.net),ALMR CONSULTING PTE. LTD.,Singapore,2025-05-28 14:53:06,https://id.jobstreet.com/id/job/84544108
83997270,Data Migration Developer (Grad Hire),CAPGEMINI SINGAPORE PTE. LTD.,Singapore,2025-05-05 14:53:06,https://id.jobstreet.com/id/job/83997270
84607635,12 Months Data Analyst - Operations,HUDSON RPO (SINGAPORE) PTE. LTD.,Central Region,2025-05-31 14:53:06,https://id.jobstreet.com/id/job/84607635
84501821,Data Architect,National University of Singapore,National University Of Singapore,2025-05-27 14:53:06,https://id.jobstreet.com/id/job/84501821
84079943,Digital Analytics Manager,,Central Region,2025-05-08 14:53:06,https://id.jobstreet.com/id/job/84079943
84423976,"Value Creation & Deal Strategy, Data Scientist, Assistant Manager to Manager",KPMG Services Pte Ltd,Central Region,2025-05-23 14:53:06,https://id.jobstreet.com/id/job/84423976
84423209,Senior Data Engineer,Razer Inc.,North Region,2025-05-22 14:53:06,https://id.jobstreet.com/id/job/84423209
84037696,AI Data Engineer,INNOCELLENCE CONSULTING PTE. LTD.,Central Region,2025-05-06 14:53:06,https://id.jobstreet.com/id/job/84037696
84446890,Data Engineer - QuantumBlack,"QuantumBlack, AI by McKinsey",Singapore,2025-05-23 14:53:06,https://id.jobstreet.com/id/job/84446890
84098765,Lead Data Engineer,CAPGEMINI SINGAPORE PTE. LTD.,Singapore,2025-05-08 14:53:06,https://id.jobstreet.com/id/job/84098765
84249971,"Data Engineer, Associate/Senior Associate, Data & AI, Technology Consulting",Ernst & Young Solutions LLP,Singapore,2025-05-15 14:53:06,https://id.jobstreet.com/id/job/84249971
84055215,Techno Functional Systems Analyst (Banking Client - AML Transaction Monitoring),,Central Region,2025-05-07 14:53:06,https://id.jobstreet.com/id/job/84055215
84038083,Senior Data Analyst,Technocracy,Singapore,2025-05-06 14:53:06,https://id.jobstreet.com/id/job/84038083
84681797,Software Engineer,Assurity Trusted Solutions Pte Ltd,Singapore River,2025-06-04 03:53:06,https://id.jobstreet.com/id/job/84681797
84360660,Data Engineer,Avatar Techno Services,Singapore,2025-05-20 14:53:06,https://id.jobstreet.com/id/job/84360660
84657416,Full stack Developer (Python/CI/CD) | $ 7500 | Central,APBA TG Human Resource Pte Ltd,Downtown Tanjong Pagar,2025-06-03 14:53:06,https://id.jobstreet.com/id/job/84657416
83651008,Senior Data Engineer,Razer Inc.,Singapore,2025-05-05 14:53:06,https://id.jobstreet.com/id/job/83651008
84632003,Research Engineer (software development for AI-driven projects) (ICT/DW),Singapore Institute of Technology,Punggol,2025-06-02 14:53:06,https://id.jobstreet.com/id/job/84632003
84604065,Staff Data Analyst,Stripe,Anson,2025-05-30 14:53:06,https://id.jobstreet.com/id/job/84604065
84300046,Lead Data Architect,Synechron,Singapore,2025-05-18 14:53:06,https://id.jobstreet.com/id/job/84300046
84522772,Site Reliability Engineer - Data Management Suite,TikTok Pte. Ltd.,Singapore,2025-05-28 14:53:06,https://id.jobstreet.com/id/job/84522772
84148042,Senior Data Platform Engineer,Airwallex,Singapore,2025-05-11 14:53:06,https://id.jobstreet.com/id/job/84148042
84634786,System Analyst/ IT Project Analyst (East/ Up to 5k) (ID: 673967),PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),East Region,2025-06-02 14:53:06,https://id.jobstreet.com/id/job/84634786
84697169,Data Engineer,Tribus,Singapore,2025-06-03 14:53:06,https://id.jobstreet.com/id/job/84697169
83667963,Data Architect - DSC/MC,ST Engineering Mission Software & Services Pte Ltd,Ang Mo Kio,2025-05-19 14:53:06,https://id.jobstreet.com/id/job/83667963
