Job_ID,Role,Company,Location,Publish_Time,URL
84952673,Data Engineer,NTT Data Business Solutions Singapore Pte Ltd,Kallang,2025-06-17 07:52:27,https://id.jobstreet.com/id/job/84952673
85252285,Data Engineer (Data visualization /ETL / Python) | Singaporean Only!,APBA TG Human Resource Pte Ltd,Central Region,2025-06-30 07:52:27,https://id.jobstreet.com/id/job/85252285
85159410,Senior BI Developer,NCS Pte Ltd,Ang Mo Kio Town Centre,2025-06-25 07:52:27,https://id.jobstreet.com/id/job/85159410
84724781,Data Engineer | $6k - $7.5k | 24 Months' Contract,BGC Group Pte Ltd,Singapore River,2025-06-06 07:52:27,https://id.jobstreet.com/id/job/84724781
75168122,Senior/ Data Engineer - DSC/EZ,ST Engineering Mission Software & Services Pte Ltd,North-East Region,2025-06-11 07:52:27,https://id.jobstreet.com/id/job/75168122
85306740,Data Engineer,Singapore LNG Corporation Pte Ltd,Telok Blangah,2025-07-02 07:52:27,https://id.jobstreet.com/id/job/85306740
85150830,Data Engineer,NEO GARDEN CATERING PTE. LTD.,Boon Lay,2025-06-25 07:52:27,https://id.jobstreet.com/id/job/85150830
85270581,"Data Analytics (Banking, SQL) CBD ~",PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Raffles Place,2025-07-01 07:52:27,https://id.jobstreet.com/id/job/85270581
85227064,Data Engineer,CITTABASE SOLUTIONS PTE. LTD.,Central Region,2025-06-27 07:52:27,https://id.jobstreet.com/id/job/85227064
84713461,Software Developer,ECICS LIMITED,Paya Lebar,2025-06-05 07:52:27,https://id.jobstreet.com/id/job/84713461
85341077,Web Developer,Times Software Pte Ltd,Rochor,2025-07-02 07:52:27,https://id.jobstreet.com/id/job/85341077
84691956,Business Support (SQL/Python/ Tableau),PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),East Region,2025-06-04 07:52:27,https://id.jobstreet.com/id/job/84691956
85414060,Software Developer,,Central Region,2025-07-03 02:52:27,https://id.jobstreet.com/id/job/85414060
84692593,Digital solution software developer,Yunex Pte Limited,Raffles Place,2025-06-11 07:52:27,https://id.jobstreet.com/id/job/84692593
84101499,SQL developer,Jaish Global Tech Private Limited,Singapore,2025-06-03 07:52:27,https://id.jobstreet.com/id/job/84101499
85209389,Business Intelligence Analyst [US Tech MNC],Adecco Personnel Pte Ltd.,Central Region,2025-06-27 07:52:27,https://id.jobstreet.com/id/job/85209389
85331158,Analyst Programmer / Systems Analyst (DSD) [NIE],National Institute of Education,West Region,2025-07-02 07:52:27,https://id.jobstreet.com/id/job/85331158
85090748,Senior Data Engineer,Tridant Pty Ltd,Central Region,2025-06-23 07:52:27,https://id.jobstreet.com/id/job/85090748
84393093,Senior Data Engineer,Avatar Techno Service,Singapore,2025-06-03 07:52:27,https://id.jobstreet.com/id/job/84393093
84948643,Data Engineer,Kaplan Singapore,Rochor,2025-06-17 07:52:27,https://id.jobstreet.com/id/job/84948643
85182562,"Integration Lead [Kafka, MQ and ETL] / Singaporean Only!",APBA TG Human Resource Pte Ltd,Central Region,2025-06-26 07:52:27,https://id.jobstreet.com/id/job/85182562
84164387,SQL Developer,Snaphunt,Singapore,2025-06-03 07:52:27,https://id.jobstreet.com/id/job/84164387
84751950,Software Developer | $6k - $8k | 2.5 years' Contract,BGC Group Pte Ltd,Singapore River,2025-06-07 07:52:27,https://id.jobstreet.com/id/job/84751950
84983010,Business Intelligence / Power BI Consultant (6 months),Robert Half International Pte Ltd,Central Region,2025-06-18 07:52:27,https://id.jobstreet.com/id/job/84983010
84955905,Data Engineer,SMRT Corporation Ltd,Bishan,2025-06-17 07:52:27,https://id.jobstreet.com/id/job/84955905
84926125,Data Engineer,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Central Region,2025-06-15 07:52:27,https://id.jobstreet.com/id/job/84926125
84360660,Data Engineer,Avatar Techno Services,Singapore,2025-06-03 07:52:27,https://id.jobstreet.com/id/job/84360660
85115549,Senior Data Engineer,CITTABASE SOLUTIONS PTE. LTD.,Singapore,2025-06-24 07:52:27,https://id.jobstreet.com/id/job/85115549
84890579,Senior Software Developer - Internal Tools & Infrastructure,TRUEGENICS PTE LTD,Rochor,2025-06-13 07:52:27,https://id.jobstreet.com/id/job/84890579
84966755,"Full Stack Developer, Office of Integrated Information Technology Services",Singapore Management University,Central Region,2025-06-17 07:52:27,https://id.jobstreet.com/id/job/84966755
84348858,Information Technology - Data & Analytics Engineer,Singapore Airlines,Singapore,2025-06-03 07:52:27,https://id.jobstreet.com/id/job/84348858
85272022,(Sr.) Data Engineer,BTSE,Singapore,2025-07-01 07:52:27,https://id.jobstreet.com/id/job/85272022
85041557,Talend Developer | Yearly Contract,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),Bukit Merah,2025-06-20 07:52:27,https://id.jobstreet.com/id/job/85041557
82451779,Business Intelligence Platform Architect,ESR Group,Singapore,2025-06-03 07:52:27,https://id.jobstreet.com/id/job/82451779
84809510,Data Engineer,SATS Ltd.,Changi,2025-06-10 07:52:27,https://id.jobstreet.com/id/job/84809510
84448186,Data Engineering (ETL & Modeling),Airwallex,Singapore,2025-06-03 07:52:27,https://id.jobstreet.com/id/job/84448186
85035755,"Middleware Integration Lead [Kafka, MQ and ETL]",APBA TG Human Resource Pte Ltd,Central Region,2025-06-19 07:52:27,https://id.jobstreet.com/id/job/85035755
85224469,Senior Software Developer,EMB LABS R&D PTE. LTD.,Tampines,2025-06-27 07:52:27,https://id.jobstreet.com/id/job/85224469
84971109,Software Developer (Outsystems) (CLT Program),Xcellink Pte Ltd,West Region,2025-06-17 07:52:27,https://id.jobstreet.com/id/job/84971109
85155962,Associate Data Engineer - Datawarehouse (Engineering & Ops),Synapxe,One North,2025-06-25 07:52:27,https://id.jobstreet.com/id/job/85155962
85169669,Qlik / BI Developer,NCS Hong Kong and Singapore,Ang Mo Kio,2025-06-26 07:52:27,https://id.jobstreet.com/id/job/85169669
85303724,Software Developer – Digital Platforms,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),East Region,2025-07-01 07:52:27,https://id.jobstreet.com/id/job/85303724
84542865,Senior Data Engineer,Plaud AI,Singapore,2025-06-03 07:52:27,https://id.jobstreet.com/id/job/84542865
83997270,Data Migration Developer (Grad Hire),CAPGEMINI SINGAPORE PTE. LTD.,Singapore,2025-06-03 07:52:27,https://id.jobstreet.com/id/job/83997270
85207227,Data Engineer,StarHub Ltd,Kampong Ubi,2025-06-26 07:52:27,https://id.jobstreet.com/id/job/85207227
85063626,Business Intelligence Analyst [US Tech MNC],Adecco Personnel Pte Ltd.,Central Region,2025-06-20 07:52:27,https://id.jobstreet.com/id/job/85063626
